identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
000000000000000000000000#00000006#00000008 0.3671084940433502 0.3671084940433502 0.36499420517928416 0.6174774554232692 0.3124195488687489 1.0 5000 1.0 3538
000000000000000000000000#00000007#00000011 0.03285732865333557 0.03285732865333557 148.9895238843543 75.49468170399146 88.90684127694996 0.0098 49 0.0029411764705882353 1
000000000000000000000000#00000012#00000030 0.057675182819366455 0.057675182819366455 7.964981949280185 4.377761522090164 3.9907369710565486 0.993 4965 1.0 3305
000000000000000000000000#00000020#00000037 0.15761689841747284 0.15761689841747284 0.3230128182908265 0.19638715954265049 0.1434800661076658 1.0 5000 1.0 4190
000000000000000000000000#00000030#00000044 0.42695704102516174 0.42695704102516174 0.9439585781328791 1.5003151635164744 0.6165149426226652 0.9746 4873 1.0 3154
000000000000000000000000#00000030#00000046 0.27118855714797974 0.27118855714797974 0.9146805979689006 0.4699862394882961 0.2777295644661093 1.0 5000 1.0 3644
000000000000000000000000#00000032#00000043 0.5189353227615356 0.5189353227615356 0.5033663572354616 0.7732394734729567 0.25640306532896656 1.0 5000 1.0 2013
000000000000000000000000#00000035#00000038 0.16269716620445251 0.16269716620445251 1.8105637541944983 0.9948815559626875 0.7150135374675618 0.8924 4462 1.0 4039
000000000000000000000000#00000036#00000037 0.6640305519104004 0.6640305519104004 0.08860784463043447 0.2500060898415006 0.07016335977165748 1.0 5000 1.0 4514
000000000000000000000000#00000038#00000040 0.20845279097557068 0.20845279097557068 0.3931936871522781 0.21447717811682485 0.1532442725805859 1.0 5000 1.0 4422
000000000000000000000001#00000002#00000074 0.9979902505874634 0.9979902505874634 0.9918258464706006 64.51222328026142 1.0725586990255225 1.0 5000 1.0 111
000000000000000000000001#00000002#00000091 0.6324498057365417 0.6324498057365417 0.10852402292091438 0.19554653215222706 0.15020157909908713 0.998 4990 1.0 4735
000000000000000000000001#00000004#00000098 0.37097325921058655 0.37097325921058655 0.2440729258375994 0.39772618982798363 0.30846710563812185 0.971 4855 1.0 4001
000000000000000000000001#00000009#00000045 0.5970624685287476 0.5970624685287476 0.0746655437331945 0.05232066844934658 0.02893342973150423 1.0 5000 1.0 4725
000000000000000000000001#00000011#00000043 0.08043913543224335 0.08043913543224335 39.155509364158874 57.362764274031726 53.17595904805415 0.2204 1102 0.9929775280898876 707
000000000000000000000001#00000028#00000072 0.7813160419464111 0.7813160419464111 0.18146131259692433 0.14782139724942053 0.0286297180307619 1.0 5000 1.0 4843
000000000000000000000001#00000041#00000092 0.008719819597899914 0.008719819597899914 14.431687635180749 45.83497862882123 93.97323222397429 0.0578 289 0.0 0
000000000000000000000001#00000044#00000052 0.46285074949264526 0.46285074949264526 0.24900433512225473 0.3337005997063505 0.168552493916633 1.0 5000 1.0 4825
000000000000000000000001#00000059#00000093 0.25820139050483704 0.25820139050483704 0.6662976030240638 1.0019616071343294 0.8061315094519694 1.0 5000 1.0 4772
000000000000000000000001#00000060#00000088 0.260065495967865 0.260065495967865 0.5104535996143851 0.662650046425478 0.5261445549376061 1.0 5000 1.0 4663
000000000000000000000001#00000060#00000100 0.11267504841089249 0.11267504841089249 0.40867359547535004 0.46003939638161384 0.4229567224142823 0.988 4940 1.0 4707
000000000000000000000001#00000060#00000101 0.12917570769786835 0.12917570769786835 2.5185996130049286 2.8505327393721576 2.537821808979317 0.9838 4919 1.0 4397
000000000000000000000001#00000085#00000088 0.8842412233352661 0.8842412233352661 0.03928135614089852 0.15434088819977348 0.013949489138224398 1.0 5000 1.0 4931
000000000000000000000002#00000215#00000241 0.8434795141220093 0.8434795141220093 0.23057872010829156 0.10229448248395906 0.24088153854376868 0.9992 4996 1.0 4246
000000000000000000000002#00000260#00000266 0.4661446809768677 0.4661446809768677 0.06599840612122815 0.07864946191005238 0.18870495892889366 0.9998 4999 1.0 3612
000000000000000000000002#00000290#00000306 0.23450659215450287 0.23450659215450287 58.348305992700084 50.70265759394473 174.81980539031244 0.1118 559 0.9583333333333334 207
000000000000000000000002#00000340#00000356 0.2712044417858124 0.2712044417858124 123.4537252804055 78.77074133089343 243.09516826778918 0.0748 374 0.11428571428571428 24
000000000000000000000002#00000455#00000476 0.5368437767028809 0.5368437767028809 0.13699208619409547 0.053605356873440896 0.3256189420245051 0.997 4985 1.0 3524
000000000000000000000002#00000510#00000531 0.020588122308254242 0.020588122308254242 170.95261821750492 63.15813454058048 556.0304052875456 0.0034 17 0.0 0
000000000000000000000002#00000525#00000566 0.038970448076725006 0.038970448076725006 1.9281483751767983 1.3089893188531765 4.015848209460732 0.8428 4214 1.0 3398
000000000000000000000002#00000545#00000566 0.14293380081653595 0.14293380081653595 0.844766952949842 0.6070557335314177 2.4535741178265993 0.999 4995 1.0 3295
000000000000000000000002#00000565#00000601 0.9304220676422119 0.9304220676422119 0.1352527796681717 0.08005533698676053 0.21324676501212564 0.9838 4919 1.0 3504
000000000000000000000002#00000565#00000611 0.10629556328058243 0.10629556328058243 1.159555522577433 0.5489994576691012 1.6437364647478465 1.0 5000 1.0 4493
000000000000000000000002#00000990#00000991 0.789614737033844 0.789614737033844 0.12012011871332048 0.3642626751267241 0.3192979171085068 0.9986 4993 1.0 4547
000000000000000000000002#00001095#00001111 0.34209465980529785 0.34209465980529785 0.5999885321300172 0.38147830299537155 1.0728245357607913 1.0 5000 1.0 4181
000000000000000000000002#00001760#00001786 0.6460981965065002 0.6460981965065002 0.147326504992024 0.1533713882050014 0.32209982025709455 1.0 5000 1.0 3952
000000000000000000000003#00000002#00000006 0.01649358682334423 0.01649358682334423 17.418863211495218 16.794770278483725 0.5630388383274627 0.1134 567 0.0 0
000000000000000000000003#00000009#00000051 0.6293762922286987 0.6293762922286987 0.51366764587411 0.42493060385101983 0.01432819392160024 1.0 5000 1.0 3705
000000000000000000000003#00000010#00000044 0.451656699180603 0.451656699180603 0.08767831594876693 0.08546463006225995 0.0030362064230948426 1.0 5000 1.0 4550
000000000000000000000003#00000015#00000030 0.11809268593788147 0.11809268593788147 0.9952575804556445 0.6995738005591955 0.020472155615642435 0.5582 2791 1.0 2112
000000000000000000000003#00000016#00000041 0.9009231925010681 0.9009231925010681 0.26957201260791125 0.34400677040232813 0.006911457583421619 1.0 5000 1.0 4456
000000000000000000000003#00000017#00000031 0.24646811187267303 0.24646811187267303 0.7998995699549182 0.6816447387422789 0.015936529613744553 1.0 5000 1.0 4178
000000000000000000000003#00000020#00000058 0.5592688918113708 0.5592688918113708 0.19352329304013804 0.06661086980378109 0.0029978034180114647 0.9994 4997 1.0 3907
000000000000000000000003#00000029#00000047 0.3261563181877136 0.3261563181877136 0.6673164287825964 0.6869490531387988 0.01955980359762447 1.0 5000 1.0 3689
