identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
delivery_area#DSC_0675.JPG#DSC_0676.JPG 0.8743636012077332 0.8743636012077332 0.043389107151525046 0.12131160769001387 0.0015533878166361424 1.0 5000 1.0 1459
delivery_area#DSC_0675.JPG#DSC_0677.JPG 0.7789077758789062 0.7789077758789062 0.019379184401449274 0.12875755720139512 0.003234613324683421 1.0 5000 1.0 1384
delivery_area#DSC_0675.JPG#DSC_0678.JPG 0.6686270236968994 0.6686270236968994 0.12725603344160427 0.1615527014149074 0.00605587685109882 1.0 5000 1.0 1261
delivery_area#DSC_0675.JPG#DSC_0679.JPG 0.5846366882324219 0.5846366882324219 0.07565449522927209 0.10990392377962722 0.005443259315050298 1.0 5000 1.0 1187
delivery_area#DSC_0675.JPG#DSC_0680.JPG 0.536745011806488 0.536745011806488 0.007084675248516142 0.05208981539754647 0.003369878028450735 1.0 5000 1.0 1074
delivery_area#DSC_0675.JPG#DSC_0681.JPG 0.43019282817840576 0.43019282817840576 0.17195040322510263 0.2468250927455725 0.017699154302335172 1.0 5000 1.0 1262
delivery_area#DSC_0675.JPG#DSC_0682.JPG 0.1683548390865326 0.1683548390865326 0.271205024550152 0.1922984248205041 0.016343184599448807 1.0 5000 1.0 1496
delivery_area#DSC_0675.JPG#DSC_0683.JPG 0.025435026735067368 0.025435026735067368 2.5139742693516602 1.9125269353222443 0.1926829201257511 0.8404 4202 1.0 1128
delivery_area#DSC_0675.JPG#DSC_0684.JPG 0.016317861154675484 0.016317861154675484 56.063919219465724 41.878275691405584 4.661934953606459 0.536 2680 0.9879518072289156 328
delivery_area#DSC_0675.JPG#DSC_0706.JPG 0.3398844599723816 0.3398844599723816 1.520994184321526 8.031357935049629 0.09731825072862066 0.832 4160 1.0 1299
delivery_area#DSC_0675.JPG#DSC_0707.JPG 0.6387847661972046 0.6387847661972046 0.13133674583513774 0.9502888870234939 0.01655142475342671 0.982 4910 1.0 1445
delivery_area#DSC_0675.JPG#DSC_0708.JPG 0.8395408987998962 0.8395408987998962 0.12099485584332002 0.5999787525525883 0.013486667236134427 1.0 5000 1.0 1634
delivery_area#DSC_0675.JPG#DSC_0709.JPG 0.01140112429857254 0.01140112429857254 2.932037762522096 10.595715437928742 0.1950670648989394 0.2724 1362 0.9936305732484076 156
delivery_area#DSC_0676.JPG#DSC_0677.JPG 0.9200136661529541 0.9200136661529541 0.033059274789547816 0.12036937422622639 0.0014600326235819706 1.0 5000 1.0 1595
delivery_area#DSC_0676.JPG#DSC_0678.JPG 0.8293403387069702 0.8293403387069702 0.0471083625119048 0.11721670542740122 0.00288440717401686 1.0 5000 1.0 1510
delivery_area#DSC_0676.JPG#DSC_0679.JPG 0.7721226215362549 0.7721226215362549 0.09175625731775966 0.1612285830151 0.006011943442146556 1.0 5000 1.0 1394
delivery_area#DSC_0676.JPG#DSC_0680.JPG 0.7593896389007568 0.7593896389007568 0.1388445295489607 0.26745461026037276 0.013315378904973677 1.0 5000 1.0 1305
delivery_area#DSC_0676.JPG#DSC_0681.JPG 0.6673164367675781 0.6673164367675781 0.05833430122049254 0.03604152103101252 0.0020224770293435085 1.0 5000 1.0 1408
delivery_area#DSC_0676.JPG#DSC_0682.JPG 0.4376062750816345 0.4376062750816345 0.045090239291183984 0.06429630964701427 0.004647791196197614 0.9984 4992 1.0 1693
delivery_area#DSC_0676.JPG#DSC_0683.JPG 0.36190396547317505 0.36190396547317505 0.3168144258101339 0.2990955980973138 0.026272577750691563 0.9736 4868 1.0 1171
delivery_area#DSC_0676.JPG#DSC_0684.JPG 0.3811735510826111 0.3811735510826111 114.6524226474832 79.22798905575554 7.384742908834318 0.2068 1034 0.0 0
delivery_area#DSC_0676.JPG#DSC_0706.JPG 0.23872298002243042 0.23872298002243042 0.27539340628908365 1.990165955851927 0.03159384720356011 0.7952 3976 1.0 1369
delivery_area#DSC_0676.JPG#DSC_0707.JPG 0.5384087562561035 0.5384087562561035 0.7335291810234446 5.882233560590047 0.0545217841847027 0.9308 4654 1.0 1435
