identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
courtyard#DSC_0286.JPG#DSC_0287.JPG 0.8945375680923462 0.8945375680923462 0.04634523565146134 0.23404288050639824 0.0030919427047774264 0.9988 4994 1.0 1489
courtyard#DSC_0286.JPG#DSC_0288.JPG 0.8083213567733765 0.8083213567733765 0.09180522641941674 0.3574111700489075 0.008352949121316856 0.9998 4999 1.0 1366
courtyard#DSC_0286.JPG#DSC_0289.JPG 0.7649725079536438 0.7649725079536438 0.15974231090924138 0.06484145710848521 0.002140174775972088 0.9978 4989 1.0 1111
courtyard#DSC_0286.JPG#DSC_0290.JPG 0.6954811811447144 0.6954811811447144 0.18678893110016115 0.11855892221715113 0.005334438360065882 0.9902 4951 1.0 990
courtyard#DSC_0286.JPG#DSC_0291.JPG 0.7120722532272339 0.7120722532272339 0.26960253947667184 0.45318623666219077 0.024963959559188387 0.9188 4594 1.0 913
courtyard#DSC_0286.JPG#DSC_0292.JPG 0.6985182762145996 0.6985182762145996 0.06461555573083343 0.04296455968563334 0.0027699613316452703 0.8838 4419 1.0 926
courtyard#DSC_0286.JPG#DSC_0293.JPG 0.5044071674346924 0.5044071674346924 0.13496866524256756 0.1827641686269778 0.014508459826214116 0.9622 4811 1.0 1066
courtyard#DSC_0286.JPG#DSC_0294.JPG 0.2620299458503723 0.2620299458503723 0.6818209978999585 10.967250756935442 10.233786350474075 0.7802 3901 0.6172566371681416 279
courtyard#DSC_0286.JPG#DSC_0295.JPG 0.2523750066757202 0.2523750066757202 0.11086170398996603 0.1590260646775354 0.015854934632002292 0.9242 4621 1.0 428
courtyard#DSC_0287.JPG#DSC_0288.JPG 0.9052034616470337 0.9052034616470337 0.03336733317700668 0.16550757649232503 0.0017082870887009099 0.9994 4997 1.0 1558
courtyard#DSC_0287.JPG#DSC_0289.JPG 0.8619542121887207 0.8619542121887207 0.07651359257523362 0.28767244304789974 0.005800346879365071 1.0 5000 1.0 1444
courtyard#DSC_0287.JPG#DSC_0290.JPG 0.785469114780426 0.785469114780426 0.12039179865643179 0.30020771712400574 0.009665908292864291 1.0 5000 1.0 1302
courtyard#DSC_0287.JPG#DSC_0291.JPG 0.8142436742782593 0.8142436742782593 0.32832147115187904 0.8492197524821169 0.03563976551211733 0.9844 4922 1.0 1205
courtyard#DSC_0287.JPG#DSC_0292.JPG 0.8231488466262817 0.8231488466262817 0.05251681308947726 0.07105497751702877 0.0035576440162709082 0.9994 4997 1.0 1121
courtyard#DSC_0287.JPG#DSC_0293.JPG 0.6448130011558533 0.6448130011558533 0.022557556286907636 0.05104929965544791 0.003463562245971388 0.9868 4934 1.0 1268
courtyard#DSC_0287.JPG#DSC_0294.JPG 0.44893375039100647 0.44893375039100647 0.8487036909083807 1.1223724420928114 0.08593181090770542 0.999 4995 1.0 667
courtyard#DSC_0287.JPG#DSC_0295.JPG 0.3090147376060486 0.3090147376060486 0.37178782437824875 0.414821616160246 0.035927497323583205 0.946 4730 1.0 516
courtyard#DSC_0288.JPG#DSC_0289.JPG 0.9547580480575562 0.9547580480575562 0.03632354616149373 0.15746950091005266 0.0015628760671613712 0.999 4995 1.0 1302
courtyard#DSC_0288.JPG#DSC_0290.JPG 0.8725622892379761 0.8725622892379761 0.03402744489008537 0.17879759077144128 0.003950269204899013 1.0 5000 1.0 1241
courtyard#DSC_0288.JPG#DSC_0291.JPG 0.9230018854141235 0.9230018854141235 0.033240732319862416 0.046871474837573604 0.0015869533270683161 1.0 5000 1.0 1185
courtyard#DSC_0288.JPG#DSC_0292.JPG 0.9228019714355469 0.9228019714355469 0.06188198202093605 0.09317870542905804 0.003801362230208523 0.988 4940 1.0 1429
courtyard#DSC_0288.JPG#DSC_0293.JPG 0.8218129873275757 0.8218129873275757 0.04011478377260273 0.10691030453234847 0.006030144199683466 0.9976 4988 1.0 1165
courtyard#DSC_0288.JPG#DSC_0294.JPG 0.5540221333503723 0.5540221333503723 0.7607274223446555 1.3118599631062524 0.08707512991920165 0.9934 4967 1.0 813
courtyard#DSC_0288.JPG#DSC_0295.JPG 0.5013834238052368 0.5013834238052368 0.5069476477762981 0.6392413250338137 0.048878971606474246 0.9998 4999 1.0 838
courtyard#DSC_0289.JPG#DSC_0290.JPG 0.9173309803009033 0.9173309803009033 0.04821199377939311 0.08277489672646793 0.0010131180019370405 0.9974 4987 1.0 1251
courtyard#DSC_0289.JPG#DSC_0291.JPG 0.9756911396980286 0.9756911396980286 0.03998277777462894 0.022042229102508228 0.00032002265564574976 1.0 5000 1.0 1222
courtyard#DSC_0289.JPG#DSC_0292.JPG 0.9786635637283325 0.9786635637283325 0.09506536534393707 0.12403388397889828 0.0038115975984500798 1.0 5000 1.0 1291
courtyard#DSC_0289.JPG#DSC_0293.JPG 0.8734232187271118 0.8734232187271118 0.13986476196704786 0.3812914188016132 0.017475298660851648 0.995 4975 1.0 1195
courtyard#DSC_0289.JPG#DSC_0294.JPG 0.6502068042755127 0.6502068042755127 0.24976276930093103 0.5022547642486893 0.02832304315807598 0.9906 4953 1.0 1034
courtyard#DSC_0289.JPG#DSC_0295.JPG 0.6180710196495056 0.6180710196495056 0.21233028533133083 0.19078923732108685 0.012693735717918441 0.9926 4963 1.0 901
