identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
57f8d9bbe73f6760f10e916a#00000008#00000125 0.9462535381317139 0.9462535381317139 0.14830564013554237 0.16352295002037137 0.0025331109949306243 1.0 5000 1.0 3863
57f8d9bbe73f6760f10e916a#00000013#00000015 0.47778815031051636 0.47778815031051636 inf inf inf 1.0 5000 0.0 0
57f8d9bbe73f6760f10e916a#00000017#00000041 0.809292197227478 0.809292197227478 0.17099784650170374 0.28673847594945073 0.0032595578052119836 1.0 5000 1.0 4078
57f8d9bbe73f6760f10e916a#00000020#00000074 0.9322847127914429 0.9322847127914429 0.08032080726311555 0.11298705391611272 0.0009730758998219642 1.0 5000 1.0 4481
57f8d9bbe73f6760f10e916a#00000022#00000060 0.1407262086868286 0.1407262086868286 0.17182838440359388 5.851956563616251 0.0031737670900988473 1.0 5000 1.0 4918
57f8d9bbe73f6760f10e916a#00000030#00000292 0.561560869216919 0.561560869216919 0.9133941423443613 0.27201949019399957 0.005409285571646023 1.0 5000 1.0 4258
57f8d9bbe73f6760f10e916a#00000033#00000092 0.5278763771057129 0.5278763771057129 0.24208411368785177 0.3034338479788453 0.005351766960550191 1.0 5000 1.0 3472
57f8d9bbe73f6760f10e916a#00000034#00000069 0.853783369064331 0.853783369064331 0.2376734608737777 0.32434662026951117 0.003196813802261349 1.0 5000 1.0 4354
57f8d9bbe73f6760f10e916a#00000037#00000095 0.7830208539962769 0.7830208539962769 0.52161422239499 0.41398136231017746 0.007251254643515156 1.0 5000 1.0 3562
57f8d9bbe73f6760f10e916a#00000045#00000059 0.8709316253662109 0.8709316253662109 0.22860153816330953 0.24713570845865288 0.002016245832821406 1.0 5000 1.0 4485
57f8d9bbe73f6760f10e916a#00000052#00000158 0.0639607161283493 0.0639607161283493 3.561256479323357 2.2566680971343156 0.0457485064516572 1.0 5000 1.0 3207
57f8d9bbe73f6760f10e916a#00000052#00000294 0.8804806470870972 0.8804806470870972 0.3449344955858742 0.024229389872000472 0.0005469228755583263 1.0 5000 1.0 3547
57f8d9bbe73f6760f10e916a#00000056#00000215 0.5622258186340332 0.5622258186340332 158.37167855007107 32.44000417474669 1.8001372838346004 0.0 0 0.0 0
57f8d9bbe73f6760f10e916a#00000061#00000036 0.3829452097415924 0.3829452097415924 0.2226037373223527 0.49276480243103177 0.0023799425435749606 1.0 5000 1.0 4518
57f8d9bbe73f6760f10e916a#00000065#00000281 0.36135971546173096 0.36135971546173096 0.6696969578513889 0.9519798603985374 0.012054183470320964 1.0 5000 1.0 4147
57f8d9bbe73f6760f10e916a#00000068#00000092 0.7534686326980591 0.7534686326980591 0.09656746197266146 0.3666177637076227 0.003046639824157765 1.0 5000 1.0 4342
57f8d9bbe73f6760f10e916a#00000070#00000114 0.21700520813465118 0.21700520813465118 1.3004619172447167 0.6929171346533092 0.00993735576208401 1.0 5000 1.0 3782
57f8d9bbe73f6760f10e916a#00000071#00000144 0.02574383094906807 0.02574383094906807 35.29407312736655 70.36618145024288 0.8882392180534476 0.9982 4991 1.0 3650
57f8d9bbe73f6760f10e916a#00000074#00000178 0.3767928183078766 0.3767928183078766 1.180012936348417 1.7190727721882333 0.019650207366103182 0.9992 4996 1.0 3543
57f8d9bbe73f6760f10e916a#00000077#00000171 0.20905861258506775 0.20905861258506775 0.9763950915824277 1.5774243086917512 0.018287144128779815 0.998 4990 1.0 2732
57f8d9bbe73f6760f10e916a#00000080#00000074 0.06981389224529266 0.06981389224529266 1.0959160479177381 33.4735685504063 0.022266066074067014 0.7208 3604 0.0 0
57f8d9bbe73f6760f10e916a#00000086#00000120 0.9116623401641846 0.9116623401641846 0.12152584182317981 0.20912288068063586 0.0013996206706929 1.0 5000 1.0 4077
57f8d9bbe73f6760f10e916a#00000093#00000267 0.4317312240600586 0.4317312240600586 0.7984043978995496 1.146725305204843 0.01601358169696551 0.9996 4998 1.0 4267
57f8d9bbe73f6760f10e916a#00000102#00000032 0.7550849914550781 0.7550849914550781 0.45298896632016006 0.3279118274494777 0.006689535054765663 1.0 5000 1.0 3733
57f8d9bbe73f6760f10e916a#00000102#00000165 0.6170523166656494 0.6170523166656494 0.26461410830816834 0.7254340084229294 0.0060210970909134 1.0 5000 1.0 4274
57f8d9bbe73f6760f10e916a#00000104#00000028 0.2721306383609772 0.2721306383609772 0.4041251904800901 0.17765166914950445 0.002793438600893896 0.998 4990 1.0 3647
57f8d9bbe73f6760f10e916a#00000107#00000119 0.18251362442970276 0.18251362442970276 0.39408916480851647 0.32287781470691584 0.0010848507627718997 1.0 5000 1.0 3823
57f8d9bbe73f6760f10e916a#00000111#00000099 0.2876273989677429 0.2876273989677429 inf inf inf 1.0 5000 0.0 0
57f8d9bbe73f6760f10e916a#00000120#00000208 0.645024299621582 0.645024299621582 0.2759204276412526 0.5107896561144462 0.004978150374457252 0.9968 4984 1.0 4478
57f8d9bbe73f6760f10e916a#00000122#00000020 0.13664188981056213 0.13664188981056213 2.3357206315092047 0.8966034825082966 0.01688636099040419 1.0 5000 1.0 3109
57f8d9bbe73f6760f10e916a#00000124#00000109 0.9286600351333618 0.9286600351333618 0.0 0.25572402224867524 0.0008619647075560841 1.0 5000 1.0 4632
57f8d9bbe73f6760f10e916a#00000125#00000161 0.6500434279441833 0.6500434279441833 0.0791937794109199 0.03953895304373031 0.0003024664012799685 1.0 5000 1.0 3877
57f8d9bbe73f6760f10e916a#00000137#00000007 0.1743190735578537 0.1743190735578537 0.9810984039659076 0.9006942190516659 0.01507894014965108 1.0 5000 1.0 3939
57f8d9bbe73f6760f10e916a#00000139#00000039 0.91865074634552 0.91865074634552 0.17958169515644634 0.06341734621263426 0.001535262834318943 0.9832 4916 1.0 3305
57f8d9bbe73f6760f10e916a#00000141#00000114 0.44910216331481934 0.44910216331481934 0.5595618230653101 1.7426626973678043 0.008265992292909474 1.0 5000 1.0 4408
57f8d9bbe73f6760f10e916a#00000142#00000136 0.8183368444442749 0.8183368444442749 0.05665359457048662 0.1800975805548873 0.000739081072867031 1.0 5000 1.0 4636
57f8d9bbe73f6760f10e916a#00000149#00000057 0.7281404733657837 0.7281404733657837 0.6595018976850281 0.1426088563350307 0.002443976984946763 1.0 5000 1.0 3820
57f8d9bbe73f6760f10e916a#00000158#00000050 0.7125898599624634 0.7125898599624634 0.35649231319501284 0.022328188786737372 0.0004924477509780501 0.9946 4973 1.0 2454
57f8d9bbe73f6760f10e916a#00000162#00000063 0.613030731678009 0.613030731678009 2.432313454016366 0.6931258555780843 0.011079372400513236 0.8014 4007 1.0 2502
57f8d9bbe73f6760f10e916a#00000162#00000116 0.06697744876146317 0.06697744876146317 0.3286998826340456 0.5740925208692628 0.004585895367679689 0.9822 4911 1.0 3846
57f8d9bbe73f6760f10e916a#00000164#00000021 0.12011557817459106 0.12011557817459106 4.460386533995055 0.9869960155150306 0.016071362442564564 0.9996 4998 1.0 3400
57f8d9bbe73f6760f10e916a#00000172#00000107 0.07113087922334671 0.07113087922334671 0.8132628862303877 0.41940576107571853 0.0034878390184792914 0.4382 2191 0.9994413407821229 1789
57f8d9bbe73f6760f10e916a#00000173#00000265 0.23343715071678162 0.23343715071678162 178.95711533367466 78.24777773666548 0.7088608365087556 0.0 0 0.0 0
57f8d9bbe73f6760f10e916a#00000178#00000147 0.5796825289726257 0.5796825289726257 0.07273405142744384 0.4079775559150826 0.0013858533920919516 1.0 5000 1.0 4705
57f8d9bbe73f6760f10e916a#00000179#00000116 0.9024147987365723 0.9024147987365723 0.20969166410829762 0.393466827916806 0.003137751333581573 1.0 5000 1.0 3970
57f8d9bbe73f6760f10e916a#00000200#00000154 0.035876937210559845 0.035876937210559845 10.017487461831328 38.23183409824907 0.09000793572800489 0.2266 1133 0.24233983286908078 87
57f8d9bbe73f6760f10e916a#00000220#00000142 0.32048940658569336 0.32048940658569336 0.4504271528178053 0.7817479601779262 0.005319819092419924 1.0 5000 1.0 4195
57f8d9bbe73f6760f10e916a#00000227#00000281 0.8359180688858032 0.8359180688858032 0.5596899441082483 0.1487800051495823 0.0011370682322874748 1.0 5000 1.0 3210
57f8d9bbe73f6760f10e916a#00000231#00000057 0.385468453168869 0.385468453168869 0.1972254332890839 0.2038664854435834 0.0021510576420785414 1.0 5000 1.0 4670
57f8d9bbe73f6760f10e916a#00000231#00000082 0.6309097409248352 0.6309097409248352 0.15691420994200117 0.07058372513362259 0.000870730218283536 0.9804 4902 1.0 3955
57f8d9bbe73f6760f10e916a#00000232#00000029 0.21400286257266998 0.21400286257266998 0.9235795977285498 0.6578582985834462 0.0074166642087391595 0.9962 4981 1.0 4283
57f8d9bbe73f6760f10e916a#00000244#00000299 0.17267952859401703 0.17267952859401703 140.97910222896064 15.79497477491657 0.5486998894110432 0.0036 18 0.0 0
