identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
2014-11-14-16-34-33#1415984956291375#1415984959478441 0.13063476979732513 0.13063476979732513 0.0799638830386755 56.634240786797214 0.0025733154508066356 0.9768 4884 0.9030303030303031 149
2014-11-14-16-34-33#1415984957541206#1415984960728274 0.1293436735868454 0.1293436735868454 0.09655498286934729 68.39241558611972 0.0018595262973201394 1.0 5000 1.0 60
2014-11-14-16-34-33#1415984958791036#1415984959478441 0.13068604469299316 0.13068604469299316 inf inf inf 0.9982 4991 0.0 0
2014-11-14-16-34-33#1415984960665782#1415984961353187 0.13068604469299316 0.13068604469299316 inf inf inf 0.9908 4954 0.0 0
2014-11-14-16-34-33#1415984961915611#1415984963852850 0.12981079518795013 0.12981079518795013 0.05095307741064894 72.39438791240148 0.0014362982658763642 0.9988 4994 0.0 0
2014-11-14-16-34-33#1415984961915611#1415984964477765 0.1301676481962204 0.1301676481962204 inf inf inf 0.9964 4982 0.0 0
2014-11-14-16-34-33#1415984961915611#1415984966352511 0.1301676481962204 0.1301676481962204 0.14740712983095458 35.481822440057094 0.00038965418028499805 0.9922 4961 1.0 7
2014-11-14-16-34-33#1415984963165441#1415984965727596 0.12986207008361816 0.12986207008361816 0.08089089123124824 81.23786395105225 0.0021971830175820145 0.9994 4997 0.9375 15
2014-11-14-16-34-33#1415984965040190#1415984968852170 0.1292952597141266 0.1292952597141266 0.4364809523685388 77.74044079644939 0.0017279474732600677 0.999 4995 1.0 2
2014-11-14-16-34-33#1415984965040190#1415984970726915 0.12981119751930237 0.12981119751930237 0.06111237163202006 74.13018666361563 0.0014150248609038085 0.9978 4989 1.0 22
2014-11-14-16-34-33#1415984965665103#1415984967602341 0.12883056700229645 0.12883056700229645 0.27998316446833177 85.58617749149528 0.0012180714195179564 0.9974 4987 0.7222222222222222 13
2014-11-14-16-34-33#1415984968164765#1415984970726915 0.12981079518795013 0.12981079518795013 inf inf inf 0.9954 4977 0.0 0
2014-11-14-16-34-33#1415984968789681#1415984972601663 0.13167154788970947 0.13167154788970947 0.18602815550168939 73.31914753542881 0.0012904463460266028 0.9972 4986 1.0 33
2014-11-14-16-34-33#1415984969414595#1415984971351834 0.132708340883255 0.132708340883255 inf inf inf 1.0 5000 0.0 0
2014-11-14-16-34-33#1415984970039511#1415984971976749 0.13322672247886658 0.13322672247886658 0.19558135080302844 55.794239440876765 0.0009480300131752645 0.9932 4966 0.5 1
2014-11-14-16-34-33#1415984970039511#1415984973851495 0.1329142302274704 0.1329142302274704 0.044895668163389045 68.43126117794218 0.00020324225457197495 1.0 5000 1.0 50
2014-11-14-16-34-33#1415984970664427#1415984973226579 0.13322713971138 0.13322713971138 0.04477330950729669 72.4555861708385 0.004344901806560618 0.9998 4999 1.0 6
2014-11-14-16-34-33#1415984970664427#1415984976351152 0.13327881693840027 0.13327881693840027 inf inf inf 0.9988 4994 0.0 0
2014-11-14-16-34-33#1415984971289340#1415984972601663 0.13530069589614868 0.13530069589614868 inf inf inf 0.9998 4999 0.0 0
2014-11-14-16-34-33#1415984971289340#1415984976351152 0.13431641459465027 0.13431641459465027 inf inf inf 0.9978 4989 0.0 0
2014-11-14-16-34-33#1415984975038832#1415984975726240 0.1376432329416275 0.1376432329416275 0.29133742046834754 87.40614999313587 0.0031321777417537625 0.9988 4994 1.0 25
2014-11-14-16-34-33#1415984983162732#1415984988224544 0.07709717005491257 0.07709717005491257 49.041515738122094 75.08204281208661 8.612623773876777 0.9846 4923 1.0 1418
