identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
2015-02-03-08-45-10#1422953130110959#1422953130798369 0.17905518412590027 0.17905518412590027 inf inf inf 1.0 5000 0.0 0
2015-02-03-08-45-10#1422953130110959#1422953131423287 0.17926636338233948 0.17926636338233948 0.01782453373822541 83.90590261131906 0.0020017736300067526 1.0 5000 1.0 1
2015-02-03-08-45-10#1422953130110959#1422953132673123 0.17926636338233948 0.17926636338233948 inf inf inf 1.0 5000 0.0 0
2015-02-03-08-45-10#1422953130110959#1422953134547876 0.17874674499034882 0.17874674499034882 inf inf inf 1.0 5000 0.0 0
2015-02-03-08-45-10#1422953130110959#1422953135797712 0.17874674499034882 0.17874674499034882 inf inf inf 1.0 5000 0.0 0
2015-02-03-08-45-10#1422953133235549#1422953134547876 0.3550634980201721 0.3550634980201721 inf inf inf 1.0 5000 0.0 0
2015-02-03-08-45-10#1422953135735220#1422953140797055 0.35609865188598633 0.35609865188598633 0.09880697898929115 26.67522373444401 0.0618574977456163 0.9902 4951 0.9912049252418645 1127
2015-02-03-08-45-10#1422953138234892#1422953142046891 0.42432209849357605 0.42432209849357605 0.05791927649824681 76.29634581032225 2.7493850079388835 0.2532 1266 0.30761014686248334 1152
2015-02-03-08-45-10#1422953141359481#1422953147046235 0.13281658291816711 0.13281658291816711 1.9003495027161257 2.864302359146632 0.5761328497098477 0.8388 4194 0.9038961038961039 3132
2015-02-03-08-45-10#1422953141984399#1422953147671152 0.10652995109558105 0.10652995109558105 2.208185675940679 4.865679438954117 1.084035964173235 0.1738 869 0.2264480111653873 649
2015-02-03-08-45-10#1422953143234235#1422953144546563 0.35695070028305054 0.35695070028305054 0.5636292910128107 1.5260920391931896 0.07473641971572048 0.9996 4998 0.9994548923412374 3667
2015-02-03-08-45-10#1422953143234235#1422953147046235 0.17409668862819672 0.17409668862819672 1.4955297279282491 5.806679301893513 0.9853332941870263 0.1858 929 0.2000622277535781 643
2015-02-03-08-45-10#1422953143234235#1422953148920989 0.1224784329533577 0.1224784329533577 1.6576523219204513 7.120102726485401 1.9343944902191046 0.5514 2757 0.5908450704225352 1678
2015-02-03-08-45-10#1422953143859153#1422953147671152 0.2221907675266266 0.2221907675266266 1.3169171550372432 8.616836500681725 1.566369310690149 0.3226 1613 0.32701971395438734 846
2015-02-03-08-45-10#1422953144484071#1422953146421317 0.35474893450737 0.35474893450737 0.7324501638894069 9.93015381969278 0.9162402060241842 0.1974 987 0.17439165701042875 602
2015-02-03-08-45-10#1422953144484071#1422953147046235 0.2951940894126892 0.2951940894126892 0.9962204086836073 7.5877919710126 0.9556818151547337 0.3968 1984 0.4355329949238579 1287
2015-02-03-08-45-10#1422953145108989#1422953147046235 0.34832847118377686 0.34832847118377686 0.765545211104338 9.605783667645944 0.9628342845471052 0.3084 1542 0.3212669683257919 1065
2015-02-03-08-45-10#1422953145108989#1422953148296070 0.431475430727005 0.431475430727005 1.016238271209562 11.395510262713739 1.9208310673683036 0.236 1180 0.3237657864523536 846
2015-02-03-08-45-10#1422953145108989#1422953148920989 0.4077860414981842 0.4077860414981842 0.9711204120384281 9.346705586405939 1.9235609051515663 0.2392 1196 0.379746835443038 930
2015-02-03-08-45-10#1422953148233578#1422953150170825 0.5145105123519897 0.5145105123519897 0.23457606712412774 1.8010626697998544 0.20451790035896436 0.6024 3012 0.6900905846829536 2514
2015-02-03-08-45-10#1422953148858496#1422953150170825 0.4825805723667145 0.4825805723667145 0.15604467844539083 2.7204610839144605 0.20515463266087375 0.6642 3321 0.6324071797393657 2572
2015-02-03-08-45-10#1422953148858496#1422953150795742 0.45622316002845764 0.45622316002845764 0.174907531664524 2.052510189241564 0.22026468204681143 0.6626 3313 0.6773832820799552 2423
2015-02-03-08-45-10#1422953150733251#1422953155170169 0.43287965655326843 0.43287965655326843 1.5016301158048566 4.239319538094593 0.7907458173983828 0.1254 627 0.14570803717878622 533
2015-02-03-08-45-10#1422953151358168#1422953152045578 0.6109546422958374 0.6109546422958374 0.3045302647366452 8.330505983569141 0.2825885572393131 0.4282 2141 0.4307107202281911 1812
2015-02-03-08-45-10#1422953151358168#1422953157044921 0.0269616711884737 0.0269616711884737 1.9261072457868527 5.117724764118356 1.018176021080856 0.552 2760 0.7408464098906324 1558
2015-02-03-08-45-10#1422953151983086#1422953153920331 0.44900187849998474 0.44900187849998474 0.6914558954113258 2.8196140245608676 0.23330216812480642 0.3064 1532 0.3608719052744887 1341
2015-02-03-08-45-10#1422953151983086#1422953156420004 0.07730550318956375 0.07730550318956375 1.6917125813530534 3.7380730939258435 0.5989938968937011 0.273 1365 0.2898767276802391 776
2015-02-03-08-45-10#1422953152608005#1422953156420004 0.09778320789337158 0.09778320789337158 1.7458394858339428 4.217419580192907 0.5743575141381485 0.1118 559 0.10828976848394324 290
2015-02-03-08-45-10#1422953153857840#1422953156420004 0.21410319209098816 0.21410319209098816 1.2434596217210128 5.033103289046674 0.44310055444885765 0.129 645 0.10064436943847806 328
2015-02-03-08-45-10#1422953153857840#1422953157044921 0.1552962213754654 0.1552962213754654 1.4918055504682672 4.563585016889397 0.4694447890357844 0.0978 489 0.03727901614142967 97
2015-02-03-08-45-10#1422953153857840#1422953157669841 0.0721830278635025 0.0721830278635025 1.8053164242177209 4.288735715374232 0.4861535368243797 0.0076 38 0.00502283105022831 11
2015-02-03-08-45-10#1422953154482758#1422953157669841 0.14075887203216553 0.14075887203216553 1.4362928099286654 3.7347705247450236 0.33961223165635634 0.149 745 0.1320754716981132 392
2015-02-03-08-45-10#1422953155107677#1422953157669841 0.20190267264842987 0.20190267264842987 1.165873009454708 3.8280242088740315 0.2691823095176217 0.2226 1113 0.17791411042944785 522
2015-02-03-08-45-10#1422953155107677#1422953159544593 0.06806274503469467 0.06806274503469467 1.6745004516301938 5.257041455773715 0.5265898283052178 0.0544 272 0.022957461174881837 68
2015-02-03-08-45-10#1422953155107677#1422953160169511 0.03902954235672951 0.03902954235672951 1.7539720249216415 5.486422480334998 0.598344380321463 0.0078 39 0.0 0
2015-02-03-08-45-10#1422953155732594#1422953158919675 0.13177001476287842 0.13177001476287842 1.4013652451478162 6.55461979709447 0.4756071784045854 0.232 1160 0.12013651877133105 352
2015-02-03-08-45-10#1422953155732594#1422953159544593 0.11190389096736908 0.11190389096736908 1.455143859600061 7.416312869564495 0.6048153215008661 0.164 820 0.07756603142761619 232
2015-02-03-08-45-10#1422953155732594#1422953160794429 0.065826416015625 0.065826416015625 1.5184757867784544 7.296535262296079 0.7165581294040065 0.0914 457 0.022459893048128343 63
2015-02-03-08-45-10#1422953155732594#1422953161419347 0.04698649048805237 0.04698649048805237 1.8652088947448109 6.461555609106759 0.6853540583406476 0.0942 471 0.05982324949014276 176
2015-02-03-08-45-10#1422953156357512#1422953158919675 0.19705730676651 0.19705730676651 1.0888621621570647 6.061074703314017 0.32722541949022355 0.2884 1442 0.1901095647023986 642
2015-02-03-08-45-10#1422953156357512#1422953160169511 0.12865357100963593 0.12865357100963593 1.2238521619736393 6.984132289807358 0.5064805851621274 0.2176 1088 0.14315600717274357 479
2015-02-03-08-45-10#1422953156357512#1422953160794429 0.12100057303905487 0.12100057303905487 1.2548539055484516 6.735558944727618 0.5388975898042327 0.2128 1064 0.15220483641536273 535
2015-02-03-08-45-10#1422953156357512#1422953161419347 0.1005236804485321 0.1005236804485321 1.5154082205858486 6.280459885139973 0.5527137835525976 0.2136 1068 0.16084620550705173 479
2015-02-03-08-45-10#1422953156982430#1422953160169511 0.18570923805236816 0.18570923805236816 0.8422324170832827 9.32343057986645 0.5217699882004347 0.2802 1401 0.1766598420590816 604
