identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
2014-06-26-09-31-18#1403775196419494#1403775197731813 0.18722820281982422 0.18722820281982422 0.6375603050689458 1.428226861725658 0.18852976226673068 0.8164 4082 0.8712035995500562 3098
2014-06-26-09-31-18#1403775197669323#1403775202731113 0.08763021230697632 0.08763021230697632 2.1597872853523468 1.3090886645245274 0.6694574138842714 0.043 215 0.038282290279627165 115
2014-06-26-09-31-18#1403775198294225#1403775202731113 0.1212552860379219 0.1212552860379219 1.9692290745186123 1.1907345055244056 0.548249659500425 0.0638 319 0.07059736229635376 182
2014-06-26-09-31-18#1403775200169011#1403775204605868 0.27802574634552 0.27802574634552 1.7253384263038425 0.2374738534867208 0.12451041197114494 0.2258 1129 0.31037827352085356 640
2014-06-26-09-31-18#1403775212042419#1403775213354713 0.42963501811027527 0.42963501811027527 0.11560956303531483 1.336897286515026 0.2165838856319609 0.8808 4404 1.0 2687
2014-06-26-09-31-18#1403775218791612#1403775219479000 0.6080615520477295 0.6080615520477295 0.1738480266121701 1.572769433891017 0.1414323487509708 0.8922 4461 0.8957277335264301 3711
2014-06-26-09-31-18#1403775219416509#1403775225540688 0.4291955530643463 0.4291955530643463 0.513959233391265 2.909111736009989 2.3041287514412425 0.538 2690 0.7068627450980393 1442
2014-06-26-09-31-18#1403775220041408#1403775221353698 0.5202832221984863 0.5202832221984863 0.17880305524419982 3.1509685294081224 0.5449917606801211 0.7998 3999 0.8818849449204407 2882
2014-06-26-09-31-18#1403775221291207#1403775225540688 0.34577393531799316 0.34577393531799316 0.49745876701205227 1.0560656317103148 0.5677958881987624 0.8298 4149 0.9486853265479219 2237
2014-06-26-09-31-18#1403775226790583#1403775228102914 0.5395186543464661 0.5395186543464661 0.09856456776298576 1.877910715015125 0.2722505586476067 0.7946 3973 0.8209956151663658 3183
2014-06-26-09-31-18#1403775237226599#1403775244288203 0.42920777201652527 0.42920777201652527 inf inf inf 0.992 4960 0.0 0
2014-06-26-09-31-18#1403775242663396#1403775246412994 0.5019034743309021 0.5019034743309021 0.05105292651841156 32.898937848334796 0.20275648051381415 0.7972 3986 0.7573378839590443 2219
2014-06-26-09-31-18#1403775246350504#1403775251974697 0.4142175316810608 0.4142175316810608 0.030371961287308385 0.16293606287791615 0.009640884618547523 0.9962 4981 1.0 3448
2014-06-26-09-31-18#1403775252662104#1403775253599496 0.4706360101699829 0.4706360101699829 0.037472826988396275 1.8167285127784656 0.052784961690881975 0.9886 4943 1.0 3832
2014-06-26-09-31-18#1403775262785813#1403775268222613 0.5256119966506958 0.5256119966506958 0.075989676780212 14.50358586364345 0.16638812432067904 0.7888 3944 0.6758021390374331 2022
2014-06-26-09-31-18#1403775265098019#1403775267472711 0.5656493902206421 0.5656493902206421 inf inf inf 1.0 5000 0.0 0
