identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
000000000000000000000000#00000006#00000008 0.3671084940433502 0.3671084940433502 0.2559956372826581 0.35570585411328276 0.17997474285636816 1.0 401 1.0 204
000000000000000000000000#00000007#00000011 0.03285732865333557 0.03285732865333557 inf inf inf 1.0 1 0.0 0
000000000000000000000000#00000012#00000030 0.057675182819366455 0.057675182819366455 57.1086802389842 78.00751839029475 81.1973220861158 0.9583333333333334 46 1.0 7
000000000000000000000000#00000020#00000037 0.15761689841747284 0.15761689841747284 3.912884352023977 2.2118203574897164 1.6083268602184309 1.0 127 1.0 80
000000000000000000000000#00000030#00000044 0.42695704102516174 0.42695704102516174 1.677245876737962 3.245243894549841 1.3333797423881073 1.0 435 1.0 190
000000000000000000000000#00000030#00000046 0.27118855714797974 0.27118855714797974 1.5853119282205845 0.9463456264630226 0.5588139966324606 1.0 152 1.0 64
000000000000000000000000#00000032#00000043 0.5189353227615356 0.5189353227615356 1.1832221853031621 1.3295857461436673 0.44091162640841947 0.9832335329341317 821 1.0 424
000000000000000000000000#00000035#00000038 0.16269716620445251 0.16269716620445251 1.129849764775761 1.1361708203283487 0.8165225321717486 0.98 98 1.0 61
000000000000000000000000#00000036#00000037 0.6640305519104004 0.6640305519104004 0.1873837742424041 0.39291150614055304 0.11028164956206572 1.0 1013 1.0 735
000000000000000000000000#00000038#00000040 0.20845279097557068 0.20845279097557068 0.7931065194106187 0.38497779831129864 0.27578006840472746 0.99 99 1.0 63
000000000000000000000001#00000002#00000074 0.9979902505874634 0.9979902505874634 1.0172051130573152 74.65426060028884 1.5980449363100342 1.0 1307 1.0 5
000000000000000000000001#00000002#00000091 0.6324498057365417 0.6324498057365417 0.2259188335817312 0.2853409074340548 0.21974382602976275 1.0 358 1.0 155
000000000000000000000001#00000004#00000098 0.37097325921058655 0.37097325921058655 0.8648174667808554 1.0260699535187128 0.7955344091223523 0.9861751152073732 214 1.0 76
000000000000000000000001#00000009#00000045 0.5970624685287476 0.5970624685287476 0.18756792855520527 0.3134383325386023 0.18744873345650484 1.0 689 1.0 400
000000000000000000000001#00000011#00000043 0.08043913543224335 0.08043913543224335 30.227443233877462 19.801608456953005 19.050839761919754 0.8709677419354839 27 1.0 13
000000000000000000000001#00000028#00000072 0.7813160419464111 0.7813160419464111 0.17636427954886377 0.9121432463149327 0.1763019924535541 1.0 1019 1.0 570
000000000000000000000001#00000041#00000092 0.008719819597899914 0.008719819597899914 80.1814493944727 72.0345701033975 82.52310537428836 0.3235294117647059 11 0.3 3
000000000000000000000001#00000044#00000052 0.46285074949264526 0.46285074949264526 0.43145592380590386 0.2456439428105015 0.12388598857963339 1.0 586 1.0 300
000000000000000000000001#00000059#00000093 0.25820139050483704 0.25820139050483704 1.5609455134279386 2.217504332897313 1.7839652557195138 1.0 187 1.0 79
000000000000000000000001#00000060#00000088 0.260065495967865 0.260065495967865 3.5400759108693656 4.877504996896268 3.8724650982856863 1.0 172 1.0 65
000000000000000000000001#00000060#00000100 0.11267504841089249 0.11267504841089249 32.52045272360017 31.707653118076294 28.79980352605317 0.9555555555555556 86 1.0 22
000000000000000000000001#00000060#00000101 0.12917570769786835 0.12917570769786835 19.817830622732384 27.90263074919905 24.59910053314594 0.9897959183673469 97 1.0 33
000000000000000000000001#00000085#00000088 0.8842412233352661 0.8842412233352661 0.13136029909895475 0.30064777226335776 0.026954410453887512 1.0 1165 1.0 750
000000000000000000000002#00000215#00000241 0.8434795141220093 0.8434795141220093 0.1275048133641862 0.1741581736181628 0.4098432095086164 1.0 567 1.0 275
000000000000000000000002#00000260#00000266 0.4661446809768677 0.4661446809768677 0.6697985958724204 0.3999649249532057 0.9787638522428219 1.0 411 1.0 179
000000000000000000000002#00000290#00000306 0.23450659215450287 0.23450659215450287 71.104109584954 59.562259419319815 354.37334372223273 0.04 1 0.2 1
000000000000000000000002#00000340#00000356 0.2712044417858124 0.2712044417858124 23.44409444168672 19.22618410025026 63.976864476104026 0.6216216216216216 46 0.9411764705882353 16
000000000000000000000002#00000455#00000476 0.5368437767028809 0.5368437767028809 0.08321325775916151 0.16849380903701325 0.9861436481304916 1.0 548 1.0 239
000000000000000000000002#00000510#00000531 0.020588122308254242 0.020588122308254242 162.72230582047084 20.64884592339874 642.1126990446144 0.0 0 0.0 0
000000000000000000000002#00000525#00000566 0.038970448076725006 0.038970448076725006 91.33053330842452 47.665386188528096 142.04296169524576 0.375 3 0.3333333333333333 2
000000000000000000000002#00000545#00000566 0.14293380081653595 0.14293380081653595 1.54523268762336 1.4437348736996087 5.8349735761694 0.8852459016393442 54 1.0 21
000000000000000000000002#00000565#00000601 0.9304220676422119 0.9304220676422119 0.19499720117228217 0.01340830937878526 0.0522663168968093 0.9472527472527472 431 1.0 143
000000000000000000000002#00000565#00000611 0.10629556328058243 0.10629556328058243 inf inf inf 0.75 3 0.0 0
000000000000000000000002#00000990#00000991 0.789614737033844 0.789614737033844 0.0 0.2134519475588842 0.18734532109486465 1.0 849 1.0 496
000000000000000000000002#00001095#00001111 0.34209465980529785 0.34209465980529785 1.9585395716604521 1.4808661821892817 4.171909590635649 0.9864406779661017 291 1.0 92
000000000000000000000002#00001760#00001786 0.6460981965065002 0.6460981965065002 0.18784520503729318 0.06183959889548725 0.1333301240739076 1.0 896 1.0 504
000000000000000000000003#00000002#00000006 0.01649358682334423 0.01649358682334423 40.222987442299534 13.189409161005484 0.4427783305824193 0.06666666666666667 4 0.0 0
000000000000000000000003#00000009#00000051 0.6293762922286987 0.6293762922286987 0.5655615292448656 0.42111589788668297 0.014199536814082366 1.0 400 1.0 181
000000000000000000000003#00000010#00000044 0.451656699180603 0.451656699180603 0.33870223484156886 0.19625818713539286 0.006866509323072669 1.0 473 1.0 213
000000000000000000000003#00000015#00000030 0.11809268593788147 0.11809268593788147 1.264447651816155 1.126724630757714 0.03297274302839006 1.0 154 1.0 81
000000000000000000000003#00000016#00000041 0.9009231925010681 0.9009231925010681 0.3030814903115917 0.3385868978792532 0.006802688811885144 1.0 921 1.0 499
000000000000000000000003#00000017#00000031 0.24646811187267303 0.24646811187267303 0.5160726540819538 0.4381147184844191 0.010244522092621132 0.9967845659163987 310 1.0 157
000000000000000000000003#00000020#00000058 0.5592688918113708 0.5592688918113708 0.9149140496374952 0.5901850308036475 0.027453769037424844 1.0 400 1.0 194
000000000000000000000003#00000029#00000047 0.3261563181877136 0.3261563181877136 1.031752760851543 0.7764879593378199 0.02210952207318026 1.0 360 1.0 207
000000000000000000000003#00000030#00000037 0.1712254285812378 0.1712254285812378 1.8558059323445606 1.471639703973262 0.04093952807177156 0.5315068493150685 194 1.0 73
000000000000000000000003#00000031#00000049 0.2547556161880493 0.2547556161880493 0.8002021874206467 0.7619954625035181 0.014428480041015507 1.0 411 1.0 209
000000000000000000000003#00000034#00000050 0.03566823899745941 0.03566823899745941 inf inf inf 0.0 0 0.0 0
000000000000000000000003#00000039#00000054 0.8276530504226685 0.8276530504226685 0.15141973070068468 0.08251199273468146 0.004030127769253723 1.0 745 1.0 379
000000000000000000000003#00000041#00000059 0.7222696542739868 0.7222696542739868 0.4925806640921621 0.15986361822034448 0.00462683596044665 1.0 584 1.0 270
000000000000000000000004#00000017#00000031 0.22283941507339478 0.22283941507339478 0.840913896727401 0.6782369602037253 1.0356323295793133 1.0 201 1.0 97
000000000000000000000004#00000017#00000034 0.6029899716377258 0.6029899716377258 0.16093497439341878 0.030842936723706596 0.017622954808211643 1.0 593 1.0 278
000000000000000000000004#00000032#00000050 0.3100524842739105 0.3100524842739105 0.26374085716426965 0.3587925172796356 0.31324847580508436 1.0 321 1.0 135
000000000000000000000004#00000039#00000021 0.2951377034187317 0.2951377034187317 0.6248850098664002 0.46080675055515957 0.3997768498590414 0.9968944099378882 321 1.0 129
000000000000000000000004#00000044#00000046 0.542920708656311 0.542920708656311 0.2801292962612876 0.39598022787085335 0.41273264128670656 1.0 402 1.0 216
