identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
courtyard#DSC_0286.JPG#DSC_0287.JPG 0.8945375680923462 0.8945375680923462 0.17108114522718532 1.5716413753709617 0.020670546270987522 1.0 1297 1.0 422
courtyard#DSC_0286.JPG#DSC_0288.JPG 0.8083213567733765 0.8083213567733765 0.11998741525882044 0.1719489270054228 0.004031854541623288 0.9990118577075099 1011 1.0 323
courtyard#DSC_0286.JPG#DSC_0289.JPG 0.7649725079536438 0.7649725079536438 0.23050623268047127 0.7913403522140318 0.026355872633707707 1.0 911 1.0 285
courtyard#DSC_0286.JPG#DSC_0290.JPG 0.6954811811447144 0.6954811811447144 0.20110500709878362 0.48185824695683804 0.021842454299480788 1.0 858 1.0 281
courtyard#DSC_0286.JPG#DSC_0291.JPG 0.7120722532272339 0.7120722532272339 29.029498558434668 78.87565833622587 4.011476607084354 1.0 838 1.0 145
courtyard#DSC_0286.JPG#DSC_0292.JPG 0.6985182762145996 0.6985182762145996 0.26129886119886925 0.43819085397569585 0.02803858963466695 1.0 832 1.0 273
courtyard#DSC_0286.JPG#DSC_0293.JPG 0.5044071674346924 0.5044071674346924 0.16086122187985732 0.2197699550475538 0.01742717186974706 1.0 736 1.0 248
courtyard#DSC_0286.JPG#DSC_0294.JPG 0.2620299458503723 0.2620299458503723 0.704994113050513 0.6406959439080255 0.057477933971599206 1.0 444 1.0 144
courtyard#DSC_0286.JPG#DSC_0295.JPG 0.2523750066757202 0.2523750066757202 0.17769412937222173 0.13801986584351914 0.013755930488164909 1.0 460 1.0 148
courtyard#DSC_0287.JPG#DSC_0288.JPG 0.9052034616470337 0.9052034616470337 0.12074596077746941 1.4789091162769248 0.015097660154308783 0.9991652754590985 1197 1.0 387
courtyard#DSC_0287.JPG#DSC_0289.JPG 0.8619542121887207 0.8619542121887207 0.0950819513351667 0.43825862645231345 0.008835270821525099 1.0 1110 1.0 341
courtyard#DSC_0287.JPG#DSC_0290.JPG 0.785469114780426 0.785469114780426 0.05150219996221054 0.025801320997762573 0.0007977866611138704 1.0 1009 1.0 339
courtyard#DSC_0287.JPG#DSC_0291.JPG 0.8142436742782593 0.8142436742782593 0.17454844494318478 0.14196064591516497 0.005938666242734668 1.0 1000 1.0 324
courtyard#DSC_0287.JPG#DSC_0292.JPG 0.8231488466262817 0.8231488466262817 0.10128133018752032 0.24932697632381506 0.012662280345130485 1.0 1017 1.0 340
courtyard#DSC_0287.JPG#DSC_0293.JPG 0.6448130011558533 0.6448130011558533 0.14743600467004683 0.23736885368515354 0.01567842750651571 1.0 902 1.0 295
courtyard#DSC_0287.JPG#DSC_0294.JPG 0.44893375039100647 0.44893375039100647 0.3943527167718001 0.5284614836374721 0.040447852741581115 1.0 614 1.0 208
courtyard#DSC_0287.JPG#DSC_0295.JPG 0.3090147376060486 0.3090147376060486 0.1084548183629351 0.12202859301920499 0.010510210013441674 1.0 581 1.0 193
courtyard#DSC_0288.JPG#DSC_0289.JPG 0.9547580480575562 0.9547580480575562 0.0574816556237048 0.7626907439819233 0.007602987799503434 1.0 1341 1.0 461
courtyard#DSC_0288.JPG#DSC_0290.JPG 0.8725622892379761 0.8725622892379761 0.054522590975185976 0.08101096990412032 0.00181760661305476 1.0 1218 1.0 396
courtyard#DSC_0288.JPG#DSC_0291.JPG 0.9230018854141235 0.9230018854141235 0.23388137378511936 0.8331296338030313 0.026469890659759396 1.0 1211 1.0 399
courtyard#DSC_0288.JPG#DSC_0292.JPG 0.9228019714355469 0.9228019714355469 0.0827395737767268 0.2317055888237157 0.009422741791970788 1.0 1206 1.0 365
courtyard#DSC_0288.JPG#DSC_0293.JPG 0.8218129873275757 0.8218129873275757 0.27101963233167137 0.4706750500038255 0.02625976841680347 1.0 1063 1.0 348
courtyard#DSC_0288.JPG#DSC_0294.JPG 0.5540221333503723 0.5540221333503723 0.45777664409969177 0.6250140368672393 0.041497838560134274 1.0 782 1.0 235
courtyard#DSC_0288.JPG#DSC_0295.JPG 0.5013834238052368 0.5013834238052368 0.13069871767294974 0.20025941607008665 0.015320586135990348 0.998661311914324 746 1.0 245
courtyard#DSC_0289.JPG#DSC_0290.JPG 0.9173309803009033 0.9173309803009033 0.13025156159716306 0.9563952233840021 0.011534925280025622 1.0 1365 1.0 488
courtyard#DSC_0289.JPG#DSC_0291.JPG 0.9756911396980286 0.9756911396980286 0.0727087498569896 0.5013577732293374 0.010944244446865321 1.0 1320 1.0 438
courtyard#DSC_0289.JPG#DSC_0292.JPG 0.9786635637283325 0.9786635637283325 0.6219993542772108 2.2584152302492346 0.06936831919551278 0.9984802431610942 1314 1.0 421
courtyard#DSC_0289.JPG#DSC_0293.JPG 0.8734232187271118 0.8734232187271118 0.10294970021527884 0.20747552284924192 0.00951775812206446 0.9991776315789473 1215 1.0 396
courtyard#DSC_0289.JPG#DSC_0294.JPG 0.6502068042755127 0.6502068042755127 0.784710238205307 1.5221749993323603 0.08586863119157843 1.0 827 1.0 262
courtyard#DSC_0289.JPG#DSC_0295.JPG 0.6180710196495056 0.6180710196495056 0.1826250862860104 0.18610859682114694 0.012382637242165961 1.0 815 1.0 268
courtyard#DSC_0290.JPG#DSC_0291.JPG 0.9997260570526123 0.9997260570526123 0.04784196006491039 0.3324790266566574 0.003254013721508009 1.0 1456 1.0 469
courtyard#DSC_0290.JPG#DSC_0292.JPG 0.9996906518936157 0.9996906518936157 0.10791134685632901 0.4351325833794342 0.008124606965633338 0.9992784992784993 1385 1.0 492
courtyard#DSC_0290.JPG#DSC_0293.JPG 0.9544893503189087 0.9544893503189087 0.07313695264472576 0.16009792765335068 0.005394139050336817 1.0 1295 1.0 453
courtyard#DSC_0290.JPG#DSC_0294.JPG 0.7158122062683105 0.7158122062683105 0.07899479203413 0.10406891346333022 0.004565333860029853 1.0 913 1.0 309
