identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
10#1025.jpg#7125.jpg 0.5886719226837158 0.5886719226837158 83.76388865402382 64.92312803542612 3.033931359484049 1.0 54 1.0 28
10#1300.jpg#4550.jpg 0.18199220299720764 0.18199220299720764 inf inf inf 0.0 0 0.0 0
10#1350.jpg#5825.jpg 0.9382617473602295 0.9382617473602295 inf inf inf 0.0 0 0.0 0
10#1350.jpg#6725.jpg 0.3358854055404663 0.3358854055404663 12.431365301557152 28.94470887245274 0.5503373585700627 0.9433962264150944 100 0.9166666666666666 44
10#1375.jpg#6425.jpg 0.7063997387886047 0.7063997387886047 23.866263144311343 61.289087821674755 1.3036877103569422 0.9640718562874252 161 0.96 72
10#1525.jpg#3275.jpg 0.6976237297058105 0.6976237297058105 1.582378297875767 4.7268556012282765 0.1064790399155758 0.9966777408637874 600 1.0 282
10#1675.jpg#6225.jpg 0.3833072781562805 0.3833072781562805 inf inf inf 0.0 0 0.0 0
10#1750.jpg#2475.jpg 0.2006901204586029 0.2006901204586029 104.07660050576709 34.81494678597177 1.0371146896421424 0.4 2 0.4 2
10#1750.jpg#7025.jpg 0.34828126430511475 0.34828126430511475 48.637256800261206 72.64898160800432 1.6370074177981817 0.125 1 0.14285714285714285 1
10#1800.jpg#6875.jpg 0.5927734375 0.5927734375 7.892206301121178 12.233764032944732 0.1615943559444623 0.9754299754299754 397 1.0 187
10#2175.jpg#2250.jpg 0.8340104818344116 0.8340104818344116 0.657871955834005 0.85336746353805 0.007693743200911078 0.9922480620155039 768 1.0 295
10#2400.jpg#6125.jpg 0.22660157084465027 0.22660157084465027 inf inf inf 0.0 0 0.0 0
10#2975.jpg#7050.jpg 0.8557943105697632 0.8557943105697632 7.9434729146820935 8.58196919955317 0.2896196434544802 0.9602272727272727 169 1.0 79
10#3275.jpg#3925.jpg 0.005664062686264515 0.005664062686264515 inf inf inf 0.0 0 0.0 0
10#3575.jpg#4275.jpg 0.4870247542858124 0.4870247542858124 10.727069067294414 8.533229786073987 0.3082897697802965 0.9090909090909091 80 0.9069767441860465 39
10#3750.jpg#4275.jpg 0.7232096195220947 0.7232096195220947 7.0746114608585735 10.001723856390905 0.2063006330008206 0.9927667269439421 549 1.0 228
10#3750.jpg#4400.jpg 0.04277343675494194 0.04277343675494194 inf inf inf 0.0 0 0.0 0
10#4600.jpg#7425.jpg 0.585156261920929 0.585156261920929 4.930055186763832 3.6633545516267514 0.105524744000138 0.9910873440285205 556 0.9918032786885246 242
10#4625.jpg#5000.jpg 0.66483074426651 0.66483074426651 1.1043303122604082 1.0882950904525441 0.02994686220684888 1.0 788 1.0 305
10#4625.jpg#7325.jpg 0.673743486404419 0.673743486404419 2.1044062251720246 1.288352562054674 0.03817354582949502 1.0 646 1.0 297
10#4850.jpg#5600.jpg 0.1774609386920929 0.1774609386920929 inf inf inf 0.0 0 0.0 0
10#5225.jpg#6650.jpg 0.43742188811302185 0.43742188811302185 inf inf inf 0.0 0 0.0 0
10#5275.jpg#5725.jpg 0.8130013346672058 0.8130013346672058 0.3975469338840394 0.6782580160832768 0.01994922790416693 0.9952380952380953 418 1.0 207
10#6100.jpg#7175.jpg 0.2954036593437195 0.2954036593437195 143.68821717023567 56.68547339041113 4.514848994814514 0.0 0 0.0 0
