identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
2014-11-14-16-34-33#1415984956291375#1415984959478441 0.13063476979732513 0.13063476979732513 0.18532501093494097 48.06117930822006 0.004954727984088131 1.0 432 1.0 9
2014-11-14-16-34-33#1415984957541206#1415984960728274 0.1293436735868454 0.1293436735868454 0.052562115190617195 47.81010382468773 0.0030247797282357785 0.9747126436781609 848 0.9090909090909091 10
2014-11-14-16-34-33#1415984958791036#1415984959478441 0.13068604469299316 0.13068604469299316 0.030762895657585797 78.94026272476792 0.0038603219343464473 0.9832775919732442 882 1.0 11
2014-11-14-16-34-33#1415984960665782#1415984961353187 0.13068604469299316 0.13068604469299316 0.04423163110551329 80.54912896646518 0.004058357734561761 0.9769736842105263 891 1.0 14
2014-11-14-16-34-33#1415984961915611#1415984963852850 0.12981079518795013 0.12981079518795013 0.5593540142400404 47.218192711727035 0.0007128094653360862 0.9935135135135135 919 1.0 9
2014-11-14-16-34-33#1415984961915611#1415984964477765 0.1301676481962204 0.1301676481962204 0.05637272968446165 73.60269504123313 0.0015378017272549113 0.9783677482792527 995 0.8 4
2014-11-14-16-34-33#1415984961915611#1415984966352511 0.1301676481962204 0.1301676481962204 0.044108514222452794 87.82453756495123 0.0008868897331630149 0.9893390191897654 928 1.0 9
2014-11-14-16-34-33#1415984963165441#1415984965727596 0.12986207008361816 0.12986207008361816 inf inf inf 0.995 796 0.0 0
2014-11-14-16-34-33#1415984965040190#1415984968852170 0.1292952597141266 0.1292952597141266 0.09748514077276428 80.31019093904904 0.0014311919067972747 0.9930635838150289 859 1.0 4
2014-11-14-16-34-33#1415984965040190#1415984970726915 0.12981119751930237 0.12981119751930237 0.11447573514901152 88.32356328424409 0.0012721380066331937 0.9911209766925638 893 1.0 9
2014-11-14-16-34-33#1415984965665103#1415984967602341 0.12883056700229645 0.12883056700229645 0.13886168844303445 26.147014548991102 0.00040557551739277346 0.9912621359223301 1021 1.0 6
2014-11-14-16-34-33#1415984968164765#1415984970726915 0.12981079518795013 0.12981079518795013 0.03187028078178471 67.08814261523607 0.0021290571024343836 0.9988304093567252 854 1.0 2
2014-11-14-16-34-33#1415984968789681#1415984972601663 0.13167154788970947 0.13167154788970947 0.0 13.324730083576691 0.00018663188348629834 1.0 834 1.0 1
2014-11-14-16-34-33#1415984969414595#1415984971351834 0.132708340883255 0.132708340883255 0.03402751688871485 77.98290650031365 0.0024895711739581364 0.9988358556461001 858 1.0 13
2014-11-14-16-34-33#1415984970039511#1415984971976749 0.13322672247886658 0.13322672247886658 0.07266838689747365 88.14345457900966 0.0014557641457598536 0.9758403361344538 929 1.0 8
2014-11-14-16-34-33#1415984970039511#1415984973851495 0.1329142302274704 0.1329142302274704 0.0737043040080744 59.199535663742935 0.00012140021972523555 1.0 844 1.0 12
2014-11-14-16-34-33#1415984970664427#1415984973226579 0.13322713971138 0.13322713971138 0.0681685808755721 35.419398566218376 0.005130942976492907 0.9948519948519948 773 1.0 4
2014-11-14-16-34-33#1415984970664427#1415984976351152 0.13327881693840027 0.13327881693840027 0.006048990925919275 31.2744903295892 0.003714593463957989 0.9885057471264368 860 1.0 15
2014-11-14-16-34-33#1415984971289340#1415984972601663 0.13530069589614868 0.13530069589614868 0.07671428607623634 25.067526465920434 0.0013165352575474519 0.9917355371900827 840 1.0 1
2014-11-14-16-34-33#1415984971289340#1415984976351152 0.13431641459465027 0.13431641459465027 inf inf inf 0.9852607709750567 869 0.0 0
2014-11-14-16-34-33#1415984975038832#1415984975726240 0.1376432329416275 0.1376432329416275 0.04743564943571886 63.222531525110185 0.003860696900672122 0.9938208032955715 965 1.0 9
2014-11-14-16-34-33#1415984983162732#1415984988224544 0.07709717005491257 0.07709717005491257 11.043193547471008 70.86481813111662 8.194421643241025 0.9354838709677419 58 1.0 25
2014-11-14-16-34-33#1415984994411207#1415984996348445 0.3082710802555084 0.3082710802555084 2.4920217774194673 26.13971040814581 2.6957293535245377 0.3391304347826087 39 0.5625 18
2014-11-14-16-34-33#1415984996285954#1415985000097936 0.0011311848647892475 0.0011311848647892475 inf inf inf 0.0 0 0.0 0
2014-11-14-16-34-33#1415984998785615#1415985001972683 0.6511954665184021 0.6511954665184021 1.0618140052282286 30.913324445951748 1.8966587266540758 0.4936708860759494 195 0.5217391304347826 72
2014-11-14-16-34-33#1415984999410525#1415985000097936 0.8364522457122803 0.8364522457122803 0.29391829266466424 28.636858031393082 0.495312861560556 0.7532299741602068 583 0.7870036101083032 218
2014-11-14-16-34-33#1415984999410525#1415985002597595 0.7263069748878479 0.7263069748878479 0.7235416773440891 29.962603837623107 1.4742047124952935 0.5148342059336823 295 0.5700934579439252 122
2014-11-14-16-34-33#1415985000035444#1415985000722848 0.863440752029419 0.863440752029419 0.19884506963500032 32.200820083374275 0.4466750383947842 0.7289719626168224 624 0.6920289855072463 191
2014-11-14-16-34-33#1415985000035444#1415985001347765 0.8414827585220337 0.8414827585220337 0.22384267054830523 21.82763249908152 0.4739703897070141 0.6653796653796654 517 0.7383177570093458 237
2014-11-14-16-34-33#1415985000035444#1415985001972683 0.7787606120109558 0.7787606120109558 0.3895027294771501 34.0815576138652 0.9947779221922923 0.6972477064220184 532 0.7577854671280276 219
2014-11-14-16-34-33#1415985000660360#1415985001347765 0.8785717487335205 0.8785717487335205 0.12325550178169373 46.2585908438024 0.47013583663921277 0.7866108786610879 752 0.714975845410628 148
2014-11-14-16-34-33#1415985000660360#1415985001972683 0.8021167516708374 0.8021167516708374 0.2388165912142469 52.844391149599204 0.9994843763783208 0.7445175438596491 679 0.815028901734104 282
2014-11-14-16-34-33#1415985000660360#1415985006347085 0.6995165944099426 0.6995165944099426 0.3446674538474422 60.661505566277455 1.909076029151419 0.7490272373540856 385 0.7860696517412935 158
2014-11-14-16-34-33#1415985001285271#1415985002597595 0.8547367453575134 0.8547367453575134 0.13138523461865328 42.319349079925665 0.5458754208553219 0.708113804004215 672 0.6900369003690037 187
2014-11-14-16-34-33#1415985001910191#1415985002597595 0.9314925670623779 0.9314925670623779 0.13246675290743226 8.006810326566194 0.038436900068744645 0.9990485252140818 1050 1.0 214
2014-11-14-16-34-33#1415985001910191#1415985003222514 0.8955492973327637 0.8955492973327637 0.06474842737904433 47.12562644560586 0.4133101666168125 0.7925581395348837 852 0.7079207920792079 143
2014-11-14-16-34-33#1415985001910191#1415985003847427 0.9013525247573853 0.9013525247573853 0.03334271450014006 47.854525932205725 0.4096718212359557 0.7840327533265097 766 0.6693548387096774 83
2014-11-14-16-34-33#1415985001910191#1415985004472341 0.8917692303657532 0.8917692303657532 0.14034457259917368 50.07570809834508 0.44604758737282485 0.7827004219409283 742 0.6119402985074627 82
2014-11-14-16-34-33#1415985001910191#1415985005097257 0.8326107263565063 0.8326107263565063 0.07445724080386905 68.07439638453035 0.8617106966889078 0.7598978288633461 595 0.5126050420168067 61
2014-11-14-16-34-33#1415985001910191#1415985006347085 0.8268188834190369 0.8268188834190369 0.014251261347930587 68.7104411156555 0.9031089670646877 0.7551724137931034 438 0.2459016393442623 15
2014-11-14-16-34-33#1415985001910191#1415985006972003 0.8185974359512329 0.8185974359512329 0.0898422017804206 66.80110761492725 0.8849805488717861 0.8038585209003215 500 0.3076923076923077 16
2014-11-14-16-34-33#1415985001910191#1415985007596921 0.7863281965255737 0.7863281965255737 0.20828519642649812 58.31005809043509 0.6439737275664018 0.8 432 0.24324324324324326 9
2014-11-14-16-34-33#1415985002535107#1415985003222514 0.9099642038345337 0.9099642038345337 0.05467334779702831 69.92199431767204 0.41127999471093213 0.9704797047970479 1052 0.9389671361502347 200
2014-11-14-16-34-33#1415985002535107#1415985003847427 0.9118713736534119 0.9118713736534119 0.11181051520475131 76.10144520750987 0.4344518512416023 0.9689213893967094 1060 0.9430379746835443 149
2014-11-14-16-34-33#1415985002535107#1415985004472341 0.9053584933280945 0.9053584933280945 0.0677683385845007 78.3882789447873 0.4836742341426199 0.9506545820745217 944 0.9154929577464789 130
2014-11-14-16-34-33#1415985002535107#1415985005097257 0.8433529138565063 0.8433529138565063 0.018870451209693766 85.73208173379957 0.9265561552703346 0.9472016895459345 897 0.8992248062015504 116
2014-11-14-16-34-33#1415985002535107#1415985005722174 0.8403157591819763 0.8403157591819763 0.14434865899889163 89.71280135122221 0.962835346510751 0.9166666666666666 770 0.691358024691358 56
2014-11-14-16-34-33#1415985002535107#1415985006347085 0.8321394920349121 0.8321394920349121 0.1303781257007139 88.02857714056378 0.9911789146114125 0.910948905109489 624 0.7659574468085106 36
2014-11-14-16-34-33#1415985002535107#1415985006972003 0.8305916786193848 0.8305916786193848 0.03745783889927571 88.64740373400637 1.0022232725501639 0.9402092675635276 629 0.8604651162790697 37
2014-11-14-16-34-33#1415985003160018#1415985003847427 0.9675179123878479 0.9675179123878479 0.07030459676565289 36.975335784895236 0.0366365329594284 1.0 1109 1.0 28
2014-11-14-16-34-33#1415985003160018#1415985004472341 0.9624682664871216 0.9624682664871216 0.0625637598498412 78.21088480776696 0.04725432355152378 0.9973190348525469 1116 1.0 20
2014-11-14-16-34-33#1415985003160018#1415985005097257 0.8874837160110474 0.8874837160110474 inf inf inf 0.9807486631016042 917 0.0 0
2014-11-14-16-34-33#1415985003160018#1415985005722174 0.8819824457168579 0.8819824457168579 0.03976703217182951 83.23988812636316 0.5181181683366697 0.9955056179775281 886 0.8947368421052632 34
2014-11-14-16-34-33#1415985003160018#1415985006347085 0.8807739615440369 0.8807739615440369 0.037791126859719845 65.5508879801429 0.6351342296843272 0.9969512195121951 654 1.0 5
2014-11-14-16-34-33#1415985003160018#1415985006972003 0.8781856298446655 0.8781856298446655 0.055326291696751954 81.76560333432431 0.4995024973613273 0.9956395348837209 685 1.0 3
2014-11-14-16-34-33#1415985003160018#1415985007596921 0.8447644710540771 0.8447644710540771 0.21958768356582903 85.21197721189986 0.29766378241697905 0.9799072642967542 634 1.0 14
2014-11-14-16-34-33#1415985003160018#1415985008221833 0.7995996475219727 0.7995996475219727 0.23204512983995146 64.27795987937206 0.35629279478631765 0.9865269461077845 659 1.0 1
2014-11-14-16-34-33#1415985003784935#1415985004472341 0.9681803584098816 0.9681803584098816 0.030307378586626382 84.00589214801079 0.05766222515538829 1.0 1110 1.0 33
2014-11-14-16-34-33#1415985003784935#1415985005097257 0.8924801349639893 0.8924801349639893 inf inf inf 0.9718992248062015 1003 0.0 0
2014-11-14-16-34-33#1415985003784935#1415985005722174 0.8857552409172058 0.8857552409172058 0.058529118444455394 86.19350757678222 0.5090271926024775 0.9908571428571429 867 1.0 15
2014-11-14-16-34-33#1415985003784935#1415985006347085 0.8831876516342163 0.8831876516342163 0.06305229381278833 73.03209783886615 0.611120998333024 0.9853723404255319 741 1.0 18
2014-11-14-16-34-33#1415985003784935#1415985006972003 0.8823099732398987 0.8823099732398987 0.06811964828446715 89.78918618379714 0.5440975494954653 0.9938556067588326 647 1.0 1
2014-11-14-16-34-33#1415985003784935#1415985007596921 0.847126841545105 0.847126841545105 0.17815342757155145 87.9940675322444 0.27985449070022733 0.9941690962099126 682 1.0 7
2014-11-14-16-34-33#1415985004409850#1415985005097257 0.8910860419273376 0.8910860419273376 0.134880975522085 71.88944085232174 0.5081590758182877 0.9990689013035382 1073 1.0 42
2014-11-14-16-34-33#1415985004409850#1415985005722174 0.8864314556121826 0.8864314556121826 0.06680888758943825 77.21472497348739 0.4916278240816591 0.922440537745605 892 1.0 33
2014-11-14-16-34-33#1415985004409850#1415985006347085 0.8790283203125 0.8790283203125 0.02682100119208623 80.95378283115915 0.5262651442393961 0.9824324324324324 727 1.0 27
2014-11-14-16-34-33#1415985004409850#1415985006972003 0.8779935836791992 0.8779935836791992 0.05102969642807019 89.39518502570432 0.4920785972577578 0.9930939226519337 719 1.0 10
2014-11-14-16-34-33#1415985004409850#1415985007596921 0.8485348224639893 0.8485348224639893 0.13876996143965833 88.44391373734257 0.24694221728620547 0.9870340356564019 609 1.0 14
2014-11-14-16-34-33#1415985004409850#1415985008221833 0.8041365742683411 0.8041365742683411 0.18160743273036584 84.6489369431067 0.26655493418659565 0.995398773006135 649 1.0 13
2014-11-14-16-34-33#1415985005034766#1415985005722174 0.8734692335128784 0.8734692335128784 0.09323564494840532 67.86717446919111 0.006536830576082984 0.9663784822286263 1006 0.2857142857142857 6
2014-11-14-16-34-33#1415985005034766#1415985006347085 0.8648173213005066 0.8648173213005066 0.06667443990838902 81.12033184607685 0.04893157323100398 0.8379828326180258 781 0.23333333333333334 7
2014-11-14-16-34-33#1415985005034766#1415985006972003 0.8620373606681824 0.8620373606681824 0.03662359518896981 83.20805456989139 0.06112588120029885 0.9235668789808917 725 1.0 18
2014-11-14-16-34-33#1415985005034766#1415985007596921 0.8323389291763306 0.8323389291763306 inf inf inf 0.9627586206896551 698 0.0 0
2014-11-14-16-34-33#1415985005034766#1415985008221833 0.7883227467536926 0.7883227467536926 inf inf inf 0.9754224270353302 635 0.0 0
2014-11-14-16-34-33#1415985005659682#1415985006347085 0.8684529662132263 0.8684529662132263 0.027171674788033524 88.65723265494775 0.05066549344682271 0.9524714828897338 1002 0.6470588235294118 33
2014-11-14-16-34-33#1415985005659682#1415985007596921 0.8388732671737671 0.8388732671737671 0.15076475905698367 71.62819316202427 0.19138718563400325 0.9339513325608343 806 1.0 41
2014-11-14-16-34-33#1415985006284598#1415985006972003 0.865155041217804 0.865155041217804 0.072914932297051 83.27715095208136 0.010476670996124673 0.9176578225068619 1003 0.8055555555555556 29
2014-11-14-16-34-33#1415985006284598#1415985007596921 0.8352466225624084 0.8352466225624084 0.17754494448258495 83.92296103543833 0.26094156952331476 0.8204613841524574 818 0.5272727272727272 29
2014-11-14-16-34-33#1415985006909512#1415985007596921 0.8362910747528076 0.8362910747528076 inf inf inf 0.9158460161145927 1023 0.0 0
2014-11-14-16-34-33#1415985006909512#1415985009471666 0.6403548717498779 0.6403548717498779 0.2186364406250275 73.05226599809802 0.2707200660405917 0.8141935483870968 631 0.0625 2
2014-11-14-16-34-33#1415985007534429#1415985008221833 0.80580735206604 0.80580735206604 0.36025382349601276 83.63509691882112 0.017301021211148827 0.9254658385093167 1043 0.9782608695652174 45
2014-11-14-16-34-33#1415985015033412#1415985016970650 0.5246386528015137 0.5246386528015137 0.030951927555006857 12.982829530566635 0.020944857320630207 0.9368836291913215 950 1.0 25
2014-11-14-16-34-33#1415985015033412#1415985020095226 0.24833984673023224 0.24833984673023224 0.5625518694689697 4.418505569552575 0.3538756137009108 0.9544787077826725 650 0.996031746031746 251
2014-11-14-16-34-33#1415985018782903#1415985019470309 0.2863110303878784 0.2863110303878784 0.04459450174461181 1.1515601788556498 0.030177058066895607 1.0 847 1.0 355
2014-11-14-16-34-33#1415985024407142#1415985026344379 0.42888349294662476 0.42888349294662476 0.2376228601594953 9.452797900527395 0.18630174031854055 0.8296059637912673 779 0.8735632183908046 304
2014-11-14-16-34-33#1415985036280533#1415985041967261 0.012279460206627846 0.012279460206627846 7.673595963496787 18.29359557915862 2.4993490159208225 0.0 0 0.0 0
2014-11-14-16-34-33#1415985037530364#1415985041342348 0.14169514179229736 0.14169514179229736 2.076081430472829 3.173545055152073 0.2975547408207065 0.043010752688172046 4 0.0 0
2014-11-14-16-34-33#1415985039405110#1415985041342348 0.19972656667232513 0.19972656667232513 1.6902762295188323 2.400967255907783 0.19579760924594278 0.0641025641025641 10 0.04878048780487805 2
