identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
2014-06-26-09-31-18#1403775196419494#1403775197731813 0.18722820281982422 0.18722820281982422 0.7476538828436832 1.0213739389997771 0.13481941424940197 0.8599695585996956 565 0.888 222
2014-06-26-09-31-18#1403775197669323#1403775202731113 0.08763021230697632 0.08763021230697632 75.97237026599922 77.33008337844193 45.75797370694114 0.034482758620689655 2 0.06666666666666667 1
2014-06-26-09-31-18#1403775198294225#1403775202731113 0.1212552860379219 0.1212552860379219 89.37264612145589 53.132346015713026 47.190354608456076 0.10666666666666667 8 0.11538461538461539 3
2014-06-26-09-31-18#1403775200169011#1403775204605868 0.27802574634552 0.27802574634552 1.928790768616009 1.0687715246764713 0.5600174739298106 0.35451505016722407 106 0.3333333333333333 31
2014-06-26-09-31-18#1403775212042419#1403775213354713 0.42963501811027527 0.42963501811027527 0.1127194492495896 0.8854544919702672 0.14345044906444177 0.9934924078091106 458 1.0 206
2014-06-26-09-31-18#1403775218791612#1403775219479000 0.6080615520477295 0.6080615520477295 0.20526921838560697 1.4708556898526384 0.13226899455070962 0.9694570135746606 857 0.985781990521327 416
2014-06-26-09-31-18#1403775219416509#1403775225540688 0.4291955530643463 0.4291955530643463 0.9276388363910799 1.6066267702222465 1.2726147599482391 0.5560747663551402 119 0.6621621621621622 49
2014-06-26-09-31-18#1403775220041408#1403775221353698 0.5202832221984863 0.5202832221984863 0.16347541339152516 3.536160925592863 0.6115936707699671 0.9110512129380054 676 0.9397590361445783 312
2014-06-26-09-31-18#1403775221291207#1403775225540688 0.34577393531799316 0.34577393531799316 0.312941495279761 2.0586507113604298 1.1068264004710668 0.7782258064516129 193 0.967741935483871 90
2014-06-26-09-31-18#1403775226790583#1403775228102914 0.5395186543464661 0.5395186543464661 0.16462578549926865 1.4742500390742097 0.21372819177244143 0.9820627802690582 438 0.9932432432432432 147
2014-06-26-09-31-18#1403775237226599#1403775244288203 0.42920777201652527 0.42920777201652527 0.011600086790134303 88.7868389969009 0.39099020747869623 0.9765100671140939 1455 0.8 4
2014-06-26-09-31-18#1403775242663396#1403775246412994 0.5019034743309021 0.5019034743309021 0.04957455910422344 31.234335530612455 0.1927599033319188 0.7864963503649635 862 0.7035573122529645 178
2014-06-26-09-31-18#1403775246350504#1403775251974697 0.4142175316810608 0.4142175316810608 0.1291325497179824 0.5748386203952831 0.03419786562613394 0.9971428571428571 698 1.0 230
2014-06-26-09-31-18#1403775252662104#1403775253599496 0.4706360101699829 0.4706360101699829 0.043559383446662284 1.9847299049652278 0.05766592853002999 0.9706774519716885 960 0.9947643979057592 380
2014-06-26-09-31-18#1403775262785813#1403775268222613 0.5256119966506958 0.5256119966506958 0.08927999531238866 13.8318498018858 0.15872020618901808 0.9448685326547922 1114 0.926605504587156 202
2014-06-26-09-31-18#1403775265098019#1403775267472711 0.5656493902206421 0.5656493902206421 0.04299200607201763 67.53662845247145 0.05529682937309177 0.9917920656634747 1450 1.0 1
2014-06-26-09-31-18#1403775273596920#1403775280845983 0.2863798141479492 0.2863798141479492 0.0 76.62039253970684 0.3723138996500798 1.0 1659 1.0 3
2014-06-26-09-31-18#1403775281595892#1403775282470784 0.43632936477661133 0.43632936477661133 0.021675445990874936 80.2020692412885 0.13365580911523686 1.0 1736 1.0 2
2014-06-26-09-31-18#1403775293094506#1403775295031803 0.3576924800872803 0.3576924800872803 0.47642656450428833 2.3220549876188654 0.29106346704659963 0.9968602825745683 635 1.0 262
2014-06-26-09-31-18#1403775295594211#1403775297531405 0.36212849617004395 0.36212849617004395 0.09992769580501916 0.7913868399379906 0.12309115932481395 0.9188712522045855 521 1.0 167
