identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
courtyard#DSC_0286.JPG#DSC_0287.JPG 0.8945375680923462 0.8945375680923462 0.0289191992057902 0.1852455139985252 0.0024538543409052932 0.9953632148377125 14812 1.0 5426
courtyard#DSC_0286.JPG#DSC_0288.JPG 0.8083213567733765 0.8083213567733765 0.04084119666197844 0.17768142556379293 0.004165137860691466 0.9830815709969789 9762 1.0 3322
courtyard#DSC_0286.JPG#DSC_0289.JPG 0.7649725079536438 0.7649725079536438 0.05104755806710452 0.015124949837627707 0.0004120285956459391 0.9727975697321182 7045 1.0 2408
courtyard#DSC_0286.JPG#DSC_0290.JPG 0.6954811811447144 0.6954811811447144 0.07896330110774989 0.20285654773649975 0.009175110951499761 0.9464772284935773 4863 1.0 1605
courtyard#DSC_0286.JPG#DSC_0291.JPG 0.7120722532272339 0.7120722532272339 0.07463548792085682 0.11397022845996543 0.006240403822136857 0.9111065064235392 4397 1.0 1580
courtyard#DSC_0286.JPG#DSC_0292.JPG 0.6985182762145996 0.6985182762145996 0.10017465586663879 0.06970495444585632 0.004472864615418172 0.9127751491462662 4437 1.0 1506
courtyard#DSC_0286.JPG#DSC_0293.JPG 0.5044071674346924 0.5044071674346924 0.05519967987347919 0.061407986789169575 0.005007689463000942 0.9158157476741547 4036 1.0 1335
courtyard#DSC_0286.JPG#DSC_0294.JPG 0.2620299458503723 0.2620299458503723 1.0392992014643305 1.1004765122263418 0.09872829784244468 0.7983642654922932 2538 1.0 615
courtyard#DSC_0286.JPG#DSC_0295.JPG 0.2523750066757202 0.2523750066757202 0.10129818100005374 0.11092017020740216 0.011046637529345997 0.8558951965065502 2548 1.0 626
courtyard#DSC_0287.JPG#DSC_0288.JPG 0.9052034616470337 0.9052034616470337 0.07749589874856844 0.03380993726306323 0.0004280411229254598 0.9930881760837471 14799 1.0 5237
courtyard#DSC_0287.JPG#DSC_0289.JPG 0.8619542121887207 0.8619542121887207 0.021043461400406773 0.04290534935899164 0.0008751513658762704 0.9858842329545454 11105 1.0 3876
courtyard#DSC_0287.JPG#DSC_0290.JPG 0.785469114780426 0.785469114780426 0.04106957060052982 0.0692754837017942 0.0022189904603685403 0.9608953613807982 7126 1.0 2414
