identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
000000000000000000000000#00000006#00000008 0.3671084940433502 0.3671084940433502 0.7663778306706202 0.9676508964329478 0.48958954527944043 0.9431818181818182 747 1.0 691
000000000000000000000000#00000007#00000011 0.03285732865333557 0.03285732865333557 124.23173315950662 59.93924798038347 56.16742547750494 0.0 0 0.0 0
000000000000000000000000#00000012#00000030 0.057675182819366455 0.057675182819366455 2.4630371471537846 1.6114610415721948 1.4692427349577992 0.581081081081081 86 1.0 76
000000000000000000000000#00000020#00000037 0.15761689841747284 0.15761689841747284 1.3109078898877395 0.765623956987871 0.5569068643088096 0.8820960698689956 404 1.0 359
000000000000000000000000#00000030#00000044 0.42695704102516174 0.42695704102516174 0.28694553667776734 0.6378787186692051 0.26215670662618057 0.9424964936886395 672 1.0 558
000000000000000000000000#00000030#00000046 0.27118855714797974 0.27118855714797974 0.5002227230203836 0.27019469865274387 0.15997839959862767 0.8703170028818443 302 1.0 249
000000000000000000000000#00000032#00000043 0.5189353227615356 0.5189353227615356 0.42596528582522186 0.7770149411886516 0.2576552579873211 0.8226415094339623 218 1.0 158
000000000000000000000000#00000035#00000038 0.16269716620445251 0.16269716620445251 0.65050701080175 0.6150646263725387 0.4421631861637866 0.7916666666666666 209 1.0 194
000000000000000000000000#00000036#00000037 0.6640305519104004 0.6640305519104004 0.13335262935678194 0.1449248772554332 0.04065738609330535 0.9825083736509118 2640 1.0 2492
000000000000000000000000#00000038#00000040 0.20845279097557068 0.20845279097557068 0.26728131666237775 0.1267412510178447 0.08991924963894374 0.7777777777777778 217 1.0 209
000000000000000000000001#00000002#00000074 0.9979902505874634 0.9979902505874634 0.9165785630890202 59.15620570449991 0.991981467017168 0.9939339474275444 4424 0.9814814814814815 53
000000000000000000000001#00000002#00000091 0.6324498057365417 0.6324498057365417 0.18057357799102816 0.35153945162593747 0.27093571898311547 0.9548762736535662 656 1.0 517
000000000000000000000001#00000004#00000098 0.37097325921058655 0.37097325921058655 0.3005995931013972 0.3326501698382983 0.2580371703399609 0.9 207 1.0 167
000000000000000000000001#00000009#00000045 0.5970624685287476 0.5970624685287476 0.2121402250486532 0.3225137859800342 0.19289843636124157 0.9899328859060402 1180 1.0 1111
000000000000000000000001#00000011#00000043 0.08043913543224335 0.08043913543224335 2.559389625958774 1.7544769435901995 1.6963314820678759 0.4666666666666667 21 1.0 19
000000000000000000000001#00000028#00000072 0.7813160419464111 0.7813160419464111 0.20465035868366213 0.8028938725478739 0.15518876297821976 0.9946958981612447 2813 1.0 2519
000000000000000000000001#00000041#00000092 0.008719819597899914 0.008719819597899914 160.43302847506177 38.37684276856814 96.35822755019858 0.05263157894736842 1 0.0 0
000000000000000000000001#00000044#00000052 0.46285074949264526 0.46285074949264526 0.1266315269097533 0.38507977176836095 0.19459130169169658 0.9901664145234493 1309 1.0 1124
000000000000000000000001#00000059#00000093 0.25820139050483704 0.25820139050483704 0.30952212463140005 0.4274534532835307 0.34396332976594074 0.9340277777777778 269 1.0 222
000000000000000000000001#00000060#00000088 0.260065495967865 0.260065495967865 0.864457712833585 1.3087850070312896 1.0393363963939366 0.893048128342246 167 1.0 133
000000000000000000000001#00000060#00000100 0.11267504841089249 0.11267504841089249 2.81764385671715 2.941356168636967 2.705668945560062 0.5555555555555556 35 1.0 28
000000000000000000000001#00000060#00000101 0.12917570769786835 0.12917570769786835 1.0033408258887966 1.3462386866395541 1.1987042318000838 0.6962025316455697 55 1.0 49
000000000000000000000001#00000085#00000088 0.8842412233352661 0.8842412233352661 0.1290196972662149 0.4572313668650501 0.04092495953041968 0.9966674601285408 4187 1.0 3963
000000000000000000000002#00000215#00000241 0.8434795141220093 0.8434795141220093 0.45231984736193925 0.19631746711845954 0.46195709728478274 0.9101497504159733 547 1.0 396
000000000000000000000002#00000260#00000266 0.4661446809768677 0.4661446809768677 0.5304714193845389 0.5030541235780942 1.2313868288389291 0.4583333333333333 66 1.0 45
000000000000000000000002#00000290#00000306 0.23450659215450287 0.23450659215450287 159.02905475956834 82.30756615469897 307.42602436017074 0.04918032786885246 3 0.0 0
000000000000000000000002#00000340#00000356 0.2712044417858124 0.2712044417858124 175.94640977699171 75.10425602047714 233.49821313116703 0.05263157894736842 2 0.0 0
000000000000000000000002#00000455#00000476 0.5368437767028809 0.5368437767028809 173.44977961348962 74.90729333382174 406.0711780015638 0.28378378378378377 21 0.0 0
000000000000000000000002#00000510#00000531 0.020588122308254242 0.020588122308254242 114.85830428480504 37.38886502275365 209.1977548386028 0.0 0 0.0 0
000000000000000000000002#00000525#00000566 0.038970448076725006 0.038970448076725006 121.26786003977648 75.188827048376 214.45894710659974 0.05172413793103448 3 0.0 0
000000000000000000000002#00000545#00000566 0.14293380081653595 0.14293380081653595 51.48351579053905 50.169791667357195 196.35368883188073 0.1951219512195122 16 1.0 7
000000000000000000000002#00000565#00000601 0.9304220676422119 0.9304220676422119 0.3961087679569463 0.21726096585788804 0.570428670821703 0.6826086956521739 157 1.0 113
000000000000000000000002#00000565#00000611 0.10629556328058243 0.10629556328058243 53.28005804620601 26.970952113092764 80.03574395160716 0.39823008849557523 45 1.0 40
000000000000000000000002#00000990#00000991 0.789614737033844 0.789614737033844 0.08148436346627794 0.22858499974130111 0.2005770253050969 0.961577868852459 1877 1.0 1584
000000000000000000000002#00001095#00001111 0.34209465980529785 0.34209465980529785 0.6116048990730868 0.3192714720734239 0.8971496975706819 0.6333333333333333 152 1.0 122
000000000000000000000002#00001760#00001786 0.6460981965065002 0.6460981965065002 0.23731946180760422 0.1961318857991245 0.41106306457294256 0.969263381028087 1829 1.0 1609
000000000000000000000003#00000002#00000006 0.01649358682334423 0.01649358682334423 116.14302283685055 36.254735508143625 3.6640724434804395 0.060240963855421686 5 0.0 0
000000000000000000000003#00000009#00000051 0.6293762922286987 0.6293762922286987 0.3341686433006389 0.24011457514731 0.008094409593072095 0.928743961352657 769 1.0 627
000000000000000000000003#00000010#00000044 0.451656699180603 0.451656699180603 0.16361823965344593 0.12491812384400128 0.0043937677453334345 0.834070796460177 377 1.0 313
000000000000000000000003#00000015#00000030 0.11809268593788147 0.11809268593788147 0.5925198606072783 0.4487821178344273 0.013132284541305885 0.7395209580838323 247 1.0 218
000000000000000000000003#00000016#00000041 0.9009231925010681 0.9009231925010681 0.4769300900860769 0.5600111339847508 0.01124729532341156 0.9343283582089552 939 1.0 801
000000000000000000000003#00000017#00000031 0.24646811187267303 0.24646811187267303 0.48768081746013553 0.4603901217714587 0.010765123532307835 0.9072039072039072 743 1.0 663
000000000000000000000003#00000020#00000058 0.5592688918113708 0.5592688918113708 0.6078592194550013 0.29588535780168995 0.013746878497128242 0.6118143459915611 145 1.0 111
000000000000000000000003#00000029#00000047 0.3261563181877136 0.3261563181877136 0.4946699494320815 0.2695455018872498 0.007672517636365159 0.8923444976076556 746 1.0 683
000000000000000000000003#00000030#00000037 0.1712254285812378 0.1712254285812378 0.8850599996913223 0.39845387849919284 0.011083913028228465 0.5185185185185185 126 1.0 112
000000000000000000000003#00000031#00000049 0.2547556161880493 0.2547556161880493 0.3754493866377423 0.2314737685901684 0.00439742943828901 0.8888888888888888 696 1.0 581
000000000000000000000003#00000034#00000050 0.03566823899745941 0.03566823899745941 152.21784540731582 62.13147251962975 2.145907121903013 0.04716981132075472 5 0.0 0
000000000000000000000003#00000039#00000054 0.8276530504226685 0.8276530504226685 0.5104370338337386 0.26519771794045754 0.012648759676082127 0.8646496815286624 543 1.0 463
000000000000000000000003#00000041#00000059 0.7222696542739868 0.7222696542739868 0.5556479112212681 0.15696631859037896 0.004543554551938971 0.5525114155251142 121 1.0 90
000000000000000000000004#00000017#00000031 0.22283941507339478 0.22283941507339478 0.5293864547210253 0.29792363780747155 0.4541578549984339 0.9277566539923955 244 1.0 228
000000000000000000000004#00000017#00000034 0.6029899716377258 0.6029899716377258 0.03573044403604381 0.19982325804421275 0.1037423347929118 0.990632318501171 1692 1.0 1474
000000000000000000000004#00000032#00000050 0.3100524842739105 0.3100524842739105 0.25435980087282933 0.18789919825104356 0.16381260169397355 0.9741100323624595 903 1.0 786
000000000000000000000004#00000039#00000021 0.2951377034187317 0.2951377034187317 0.24523068103452797 0.24071782892403418 0.20874741973924515 0.9570621468926553 847 1.0 657
000000000000000000000004#00000044#00000046 0.542920708656311 0.542920708656311 0.22640556208986304 0.2729371266947038 0.28465840293326855 0.9902370990237099 1420 1.0 1274
000000000000000000000004#00000046#00000045 0.768330454826355 0.768330454826355 0.025598873574830122 0.10671834073987138 0.055879407072218674 0.9963308872581721 2987 1.0 2803
000000000000000000000004#00000047#00000027 0.15043354034423828 0.15043354034423828 57.82417549652205 63.47988553802044 89.11096900705023 0.6212121212121212 41 1.0 31
000000000000000000000004#00000047#00000053 0.03998137637972832 0.03998137637972832 58.87612876993375 27.474346514121017 60.06501015036347 0.26666666666666666 12 1.0 12
000000000000000000000004#00000053#00000062 0.42817917466163635 0.42817917466163635 0.302243818320242 0.10013617474765128 0.10233535815713772 0.9755244755244755 837 1.0 752
000000000000000000000004#00000055#00000069 0.06350372731685638 0.06350372731685638 2.259037041040533 1.181044650566477 2.4869435881799866 0.7536231884057971 104 1.0 82
000000000000000000000004#00000074#00000075 0.8409872651100159 0.8409872651100159 0.13528400970702506 0.32406830406920156 0.1376200638455643 0.9966494060310691 3272 1.0 3043
000000000000000000000004#00000085#00000076 0.1218520998954773 0.1218520998954773 0.7782252253212754 0.5369240936560018 1.1481184542115377 0.7843137254901961 80 1.0 67
000000000000000000000005#00000160#00000171 0.1408478170633316 0.1408478170633316 148.4322058499322 83.22006967075129 69.27810444207203 0.06666666666666667 3 0.0 0
000000000000000000000005#00000190#00000206 0.20513790845870972 0.20513790845870972 171.76021024286513 58.638830293471784 86.84959825669529 0.018518518518518517 1 0.0 0
000000000000000000000005#00000225#00000246 0.8017416000366211 0.8017416000366211 0.515648338664063 0.2581682314276868 0.11073799427956525 0.7383720930232558 127 1.0 108
000000000000000000000005#00000290#00000296 0.7788382172584534 0.7788382172584534 0.054294579541122524 0.11097247849760328 0.018886796696796007 0.9788334901222954 2081 1.0 1931
000000000000000000000005#00000574#00000032 0.30724963545799255 0.30724963545799255 25.59928862065474 31.590548710330985 16.92539647401763 0.18823529411764706 16 1.0 10
000000000000000000000005#00000665#00000691 0.19859926402568817 0.19859926402568817 2.627993666325794 2.2728038852547727 0.9605381757861053 0.8463855421686747 281 1.0 238
000000000000000000000005#00000785#00000796 0.5440231561660767 0.5440231561660767 0.14314249186050557 0.10999153781227303 0.032509675991046955 0.8246753246753247 254 1.0 235
000000000000000000000005#00000975#00000991 0.6469721794128418 0.6469721794128418 0.4425316257897655 0.13729311831620572 0.07768851320337297 0.6647058823529411 113 1.0 98
000000000000000000000005#00001185#00001186 0.9462932348251343 0.9462932348251343 0.06193301449918865 0.2395603453657917 0.005767078783486438 0.9911032028469751 3899 1.0 3536
000000000000000000000005#00001991#00000956 0.017712030559778214 0.017712030559778214 144.26436107543066 54.09864239419947 52.203466828563826 0.04918032786885246 3 0.0 0
000000000000000000000005#00002006#00000489 0.205141082406044 0.205141082406044 161.19532341476756 73.80799749005516 110.15883083402679 0.04 2 0.0 0
000000000000000000000005#00002131#00002114 0.4299098551273346 0.4299098551273346 8.019219868878984 7.592355364665419 2.943214691686497 0.3595505617977528 32 0.9523809523809523 20
000000000000000000000005#00002243#00001922 0.017575832083821297 0.017575832083821297 168.20539820061546 87.61562718503373 38.416437694408025 0.017241379310344827 1 0.0 0
000000000000000000000006#00000001#00000032 0.6024487018585205 0.6024487018585205 7.664601099712655 2.939904105229022 8.396974827526371 0.273972602739726 20 0.9230769230769231 12
