identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
delivery_area#DSC_0675.JPG#DSC_0676.JPG 0.8743636012077332 0.8743636012077332 0.00869136867724194 0.12273555598832596 0.001571522138857896 0.8713615023474178 928 1.0 487
delivery_area#DSC_0675.JPG#DSC_0677.JPG 0.7789077758789062 0.7789077758789062 0.031098109111761283 0.05992769589430935 0.0015409521936363554 0.8112712975098296 619 1.0 251
delivery_area#DSC_0675.JPG#DSC_0678.JPG 0.6686270236968994 0.6686270236968994 0.05537010876742628 0.1404778774181016 0.005264393125112946 0.7679180887372014 450 1.0 161
delivery_area#DSC_0675.JPG#DSC_0679.JPG 0.5846366882324219 0.5846366882324219 0.0434512009643334 0.1011299364126583 0.004997214982222394 0.7258771929824561 331 1.0 107
delivery_area#DSC_0675.JPG#DSC_0680.JPG 0.536745011806488 0.536745011806488 0.2636087769667805 0.3705663277561233 0.023186038742833672 0.6860759493670886 271 1.0 77
delivery_area#DSC_0675.JPG#DSC_0681.JPG 0.43019282817840576 0.43019282817840576 0.5238965007211899 0.5277214733636507 0.037912587033413825 0.6228571428571429 218 1.0 61
delivery_area#DSC_0675.JPG#DSC_0682.JPG 0.1683548390865326 0.1683548390865326 2.8499449284554705 2.2263675606611795 0.18951507728262737 0.48223350253807107 95 1.0 19
delivery_area#DSC_0675.JPG#DSC_0683.JPG 0.025435026735067368 0.025435026735067368 153.49203424218427 82.81982521251628 8.659103247639441 0.05263157894736842 5 0.0 0
delivery_area#DSC_0675.JPG#DSC_0684.JPG 0.016317861154675484 0.016317861154675484 129.24950648233076 84.43414861667006 8.765407333689682 0.05714285714285714 6 0.0 0
delivery_area#DSC_0675.JPG#DSC_0706.JPG 0.3398844599723816 0.3398844599723816 0.10565898247941675 0.6877582329734004 0.008337840189445422 0.4340425531914894 102 1.0 32
delivery_area#DSC_0675.JPG#DSC_0707.JPG 0.6387847661972046 0.6387847661972046 0.2114790630916408 0.10587610940461004 0.0018538995564397775 0.5549132947976878 192 1.0 62
delivery_area#DSC_0675.JPG#DSC_0708.JPG 0.8395408987998962 0.8395408987998962 0.06557512104210533 0.14033957291533639 0.0031623203587677995 0.6680161943319838 330 1.0 127
delivery_area#DSC_0675.JPG#DSC_0709.JPG 0.01140112429857254 0.01140112429857254 167.12687012837785 28.906070304202647 0.5272854659316566 0.05263157894736842 6 0.0 0
delivery_area#DSC_0676.JPG#DSC_0677.JPG 0.9200136661529541 0.9200136661529541 0.02423855373274615 0.19857811203116724 0.0024157701131764173 0.9185236768802229 1319 1.0 623
delivery_area#DSC_0676.JPG#DSC_0678.JPG 0.8293403387069702 0.8293403387069702 0.04207568476359031 0.13150192960576815 0.003239880702183816 0.8736842105263158 913 1.0 366
delivery_area#DSC_0676.JPG#DSC_0679.JPG 0.7721226215362549 0.7721226215362549 0.08658785817964734 0.19280311929857552 0.00719482630974118 0.8228498074454429 641 1.0 249
delivery_area#DSC_0676.JPG#DSC_0680.JPG 0.7593896389007568 0.7593896389007568 0.09373771547796812 0.15261667914452656 0.0076063165450801825 0.7962085308056872 504 1.0 182
delivery_area#DSC_0676.JPG#DSC_0681.JPG 0.6673164367675781 0.6673164367675781 0.11147112349412945 0.09485950010518138 0.005567459136526997 0.7156673114119922 370 1.0 143
delivery_area#DSC_0676.JPG#DSC_0682.JPG 0.4376062750816345 0.4376062750816345 0.17891759972481355 0.09728136452608394 0.007036319295781395 0.55 143 1.0 52
delivery_area#DSC_0676.JPG#DSC_0683.JPG 0.36190396547317505 0.36190396547317505 151.50334716863802 65.80069951038998 8.465284368177121 0.07462686567164178 10 0.6 3
delivery_area#DSC_0676.JPG#DSC_0684.JPG 0.3811735510826111 0.3811735510826111 131.71785447918413 76.90716925613306 9.06990581795117 0.06481481481481481 7 0.0 0
delivery_area#DSC_0676.JPG#DSC_0706.JPG 0.23872298002243042 0.23872298002243042 8.748329156202331 37.75014770099953 0.5885312506730578 0.37735849056603776 80 1.0 40
delivery_area#DSC_0676.JPG#DSC_0707.JPG 0.5384087562561035 0.5384087562561035 0.15522604054191447 1.2955550725631537 0.012013422807038225 0.6613333333333333 248 1.0 93
delivery_area#DSC_0676.JPG#DSC_0708.JPG 0.750721275806427 0.750721275806427 0.09239221038382245 0.614984503709028 0.006606350878289938 0.7984126984126985 503 1.0 181
delivery_area#DSC_0677.JPG#DSC_0678.JPG 0.9032011032104492 0.9032011032104492 0.0 0.047584854564632115 0.0006414507327593475 0.9369369369369369 1560 1.0 680
delivery_area#DSC_0677.JPG#DSC_0679.JPG 0.8406155109405518 0.8406155109405518 0.0 0.05719461020231356 0.0013992382771983334 0.8714285714285714 976 1.0 427
delivery_area#DSC_0677.JPG#DSC_0680.JPG 0.8293157815933228 0.8293157815933228 0.034866257801211435 0.05587653126973616 0.0019407562574243638 0.8232502965599051 694 1.0 268
delivery_area#DSC_0677.JPG#DSC_0681.JPG 0.7337740659713745 0.7337740659713745 0.09777895350351824 0.10811671208493827 0.005080011381310935 0.78125 475 1.0 193
delivery_area#DSC_0677.JPG#DSC_0682.JPG 0.4920085072517395 0.4920085072517395 0.1761479997085096 0.12227672450861714 0.0074112189758383335 0.6611295681063123 199 1.0 76
delivery_area#DSC_0677.JPG#DSC_0683.JPG 0.4159601032733917 0.4159601032733917 57.489955379959824 22.58197686663351 8.517808693011746 0.2246376811594203 31 0.875 7
delivery_area#DSC_0677.JPG#DSC_0684.JPG 0.42799413204193115 0.42799413204193115 112.60917889062186 45.596543940823295 9.389816036230945 0.14545454545454545 16 0.0 0
delivery_area#DSC_0677.JPG#DSC_0706.JPG 0.13363322615623474 0.13363322615623474 179.14277785353582 21.45918369812216 2.890389481139329 0.05232558139534884 9 0.0 0
delivery_area#DSC_0677.JPG#DSC_0707.JPG 0.4457296133041382 0.4457296133041382 1.5167106487803932 8.179897633355273 0.11109908937531064 0.52 156 1.0 34
delivery_area#DSC_0677.JPG#DSC_0708.JPG 0.6663551330566406 0.6663551330566406 0.05013644808853595 0.6118959096396158 0.004276353585744147 0.789308176100629 502 1.0 228
