identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
courtyard#DSC_0286.JPG#DSC_0287.JPG 0.8945375680923462 0.8945375680923462 0.032122990934467285 0.2924105817312879 0.003856769757093738 0.9548192771084337 3487 1.0 2149
courtyard#DSC_0286.JPG#DSC_0288.JPG 0.8083213567733765 0.8083213567733765 0.06693347304207395 0.005982316823583936 0.0003983011443984922 0.8900928792569659 1725 1.0 1114
courtyard#DSC_0286.JPG#DSC_0289.JPG 0.7649725079536438 0.7649725079536438 0.07883220952122534 0.23430644507810736 0.007798803196514786 0.8721649484536083 1269 1.0 849
courtyard#DSC_0286.JPG#DSC_0290.JPG 0.6954811811447144 0.6954811811447144 0.13442537155619086 0.1605336450334485 0.007249178653406393 0.8068085106382978 948 1.0 605
courtyard#DSC_0286.JPG#DSC_0291.JPG 0.7120722532272339 0.7120722532272339 0.0798916404187562 0.05066071716015816 0.002700038308730099 0.7907180385288967 903 1.0 582
courtyard#DSC_0286.JPG#DSC_0292.JPG 0.6985182762145996 0.6985182762145996 0.0896623120895994 0.15022432751404094 0.00961776186571371 0.7609841827768014 866 1.0 580
courtyard#DSC_0286.JPG#DSC_0293.JPG 0.5044071674346924 0.5044071674346924 0.029030625600820006 0.04066403238525 0.0034391330254158288 0.7814207650273224 715 1.0 472
courtyard#DSC_0286.JPG#DSC_0294.JPG 0.2620299458503723 0.2620299458503723 0.4227841785571523 0.3759315328991069 0.03372197412771563 0.5617977528089888 350 1.0 204
courtyard#DSC_0286.JPG#DSC_0295.JPG 0.2523750066757202 0.2523750066757202 0.6446101194724071 0.5474900595945088 0.05463657974237852 0.649546827794562 430 1.0 192
courtyard#DSC_0287.JPG#DSC_0288.JPG 0.9052034616470337 0.9052034616470337 0.05911920869609751 0.1407742437802364 0.0014590907109030382 0.9529085872576177 4128 1.0 2436
courtyard#DSC_0287.JPG#DSC_0289.JPG 0.8619542121887207 0.8619542121887207 0.025352559686809717 0.012836373652146536 0.0002912691730812298 0.9144201968335472 2137 1.0 1427
courtyard#DSC_0287.JPG#DSC_0290.JPG 0.785469114780426 0.785469114780426 0.05266075315651715 0.1930631713421837 0.006213586096838594 0.8416666666666667 1414 1.0 943
courtyard#DSC_0287.JPG#DSC_0291.JPG 0.8142436742782593 0.8142436742782593 0.06624880533849585 0.1713708000377069 0.007176453545804621 0.832996632996633 1237 1.0 824
courtyard#DSC_0287.JPG#DSC_0292.JPG 0.8231488466262817 0.8231488466262817 0.11240403918494488 0.24728588972785134 0.012558364243568008 0.823021582733813 1144 1.0 767
courtyard#DSC_0287.JPG#DSC_0293.JPG 0.6448130011558533 0.6448130011558533 0.10844363330618059 0.027308923113988956 0.001975394346055435 0.7972972972972973 1003 1.0 660
courtyard#DSC_0287.JPG#DSC_0294.JPG 0.44893375039100647 0.44893375039100647 0.2396276426200724 0.3437610818381531 0.026296252552814474 0.6599749058971142 526 1.0 291
courtyard#DSC_0287.JPG#DSC_0295.JPG 0.3090147376060486 0.3090147376060486 0.17813340156681223 0.206357526198877 0.01784403920305779 0.6981132075471698 555 1.0 309
