identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
20190127_154841#image_0#image_39 0.8541161417961121 0.8541161417961121 25.821649739863222 9.305184352184348 4.466576552152474 0.3023255813953488 13 0.6923076923076923 9
20190127_154841#image_0#image_47 0.6507972478866577 0.6507972478866577 106.92663666098416 32.636129894474244 19.105711341321474 0.037037037037037035 1 0.0 0
20190127_154841#image_0#image_55 0.7218625545501709 0.7218625545501709 70.28181962349043 82.63820599843729 49.03676989061544 0.045454545454545456 1 0.0 0
20190127_154841#image_0#image_58 0.6974980235099792 0.6974980235099792 117.81152370253953 70.4027725196783 60.86303919992917 0.0 0 0.0 0
20190127_154841#image_0#image_69 0.6132485270500183 0.6132485270500183 58.37082687038196 73.73586599401192 40.180731996589664 0.041666666666666664 1 0.0 0
20190127_154841#image_0#image_71 0.6122978925704956 0.6122978925704956 146.29470017918118 51.93334612481011 28.820840569783446 0.1 2 0.0 0
20190127_154841#image_0#image_77 0.6109662652015686 0.6109662652015686 1.798571716709065 34.8516178110026 19.004792430706974 0.23333333333333334 7 0.875 7
20190127_154841#image_1#image_24 0.8507557511329651 0.8507557511329651 2.3658780073440764 1.2232300834811929 0.2867986463795638 0.5 21 0.8571428571428571 12
20190127_154841#image_1#image_36 0.8878754377365112 0.8878754377365112 8.782339178769588 3.332560609664404 1.4902586941705698 0.5 16 0.9375 15
20190127_154841#image_1#image_45 0.6241012215614319 0.6241012215614319 161.0041386381443 60.538837830414536 55.76737608399407 0.058823529411764705 1 0.0 0
20190127_154841#image_1#image_52 0.7145035266876221 0.7145035266876221 129.25189557183546 23.116486733070303 70.69017489396501 0.0625 1 0.3333333333333333 1
20190127_154841#image_1#image_53 0.7177512049674988 0.7177512049674988 166.72985046570477 80.75295469214035 55.511397951439214 0.07692307692307693 2 0.2857142857142857 2
20190127_154841#image_1#image_6 0.9504439830780029 0.9504439830780029 0.03745284086846042 0.21167195596703975 0.005084038453388189 0.9844771241830066 1205 1.0 882
20190127_154841#image_1#image_69 0.6106641292572021 0.6106641292572021 40.7246833468405 69.46409311913946 37.930077096818344 0.17391304347826086 4 0.3333333333333333 2
20190127_154841#image_10#image_41 0.7638931274414062 0.7638931274414062 28.01786187058971 64.56086684806081 44.00976876455485 0.10714285714285714 3 0.14285714285714285 1
20190127_154841#image_10#image_60 0.7451857328414917 0.7451857328414917 35.28021626958108 77.38081093629141 42.98090923257213 0.05555555555555555 1 0.25 1
20190127_154841#image_10#image_68 0.6507377624511719 0.6507377624511719 26.504446703028112 40.3581081332554 58.803981557587335 0.2857142857142857 8 0.8571428571428571 6
20190127_154841#image_11#image_16 0.8714891672134399 0.8714891672134399 0.16867009670666896 0.36509482472715354 0.0150141462084439 0.9506578947368421 578 1.0 508
20190127_154841#image_11#image_49 0.6350651979446411 0.6350651979446411 169.21156936445468 42.765009891184285 23.155348055041955 0.045454545454545456 1 0.0 0
20190127_154841#image_11#image_59 0.7756651043891907 0.7756651043891907 149.55344518140194 30.755639667624067 18.068738935769783 0.07692307692307693 2 0.0 0
20190127_154841#image_11#image_69 0.6595537662506104 0.6595537662506104 0.28744928820747784 73.12491249417288 36.39282794650065 0.42857142857142855 12 0.8333333333333334 5
20190127_154841#image_12#image_19 0.8722285032272339 0.8722285032272339 0.36947416336644057 0.5428046877209731 0.03821475863208876 0.9302325581395349 360 1.0 297
20190127_154841#image_12#image_23 0.9624836444854736 0.9624836444854736 0.5881854936647289 0.25101649153893685 0.03802224207467681 0.7922077922077922 122 1.0 80
20190127_154841#image_12#image_40 0.7068098783493042 0.7068098783493042 126.82350743431975 69.4786796999279 40.18383730635217 0.17142857142857143 6 0.125 1
20190127_154841#image_12#image_43 0.5260784029960632 0.5260784029960632 61.22341588226099 88.05421245731098 38.47570217551753 0.07142857142857142 2 0.0 0
20190127_154841#image_12#image_56 0.6473241448402405 0.6473241448402405 164.73932891464256 85.42294808952867 45.8777523380677 0.11764705882352941 2 0.0 0
20190127_154841#image_12#image_61 0.5995039939880371 0.5995039939880371 69.61709158981506 70.08970728647695 38.13627489986313 0.0 0 0.0 0
20190127_154841#image_12#image_72 0.6505868434906006 0.6505868434906006 2.6932823372368957 66.616572760902 32.130149156002844 0.42424242424242425 14 0.5 1
20190127_154841#image_13#image_14 0.980667233467102 0.980667233467102 0.07918641392570257 0.9344170571761529 0.00471177364821149 0.9953027139874739 1907 1.0 1507
20190127_154841#image_13#image_24 0.9963003396987915 0.9963003396987915 1.0517562483295992 0.6632152674692835 0.10902463456406127 0.7631578947368421 116 1.0 78
20190127_154841#image_13#image_29 0.9740963578224182 0.9740963578224182 1.3331754705205086 0.800574605848783 0.20712355288447615 0.5913978494623656 55 0.972972972972973 36
20190127_154841#image_13#image_31 0.9301127195358276 0.9301127195358276 1.4696157671340888 0.44190120964016516 0.13285718914693975 0.29508196721311475 18 0.6923076923076923 9
20190127_154841#image_13#image_35 0.8934692144393921 0.8934692144393921 11.6074142153186 7.6308853846767875 41.98481948618912 0.21428571428571427 9 0.4 2
20190127_154841#image_13#image_70 0.4739510715007782 0.4739510715007782 5.069292315400782 53.803233284010986 52.326912650984916 0.43243243243243246 16 0.9285714285714286 13
20190127_154841#image_13#image_77 0.49378105998039246 0.49378105998039246 0.8311528886300814 62.44387127666258 47.62567378601696 0.4418604651162791 19 1.0 9
20190127_154841#image_14#image_46 0.46485424041748047 0.46485424041748047 44.239722479683564 71.57549895928308 33.64365255688291 0.027777777777777776 1 0.0 0
20190127_154841#image_14#image_50 0.4475724697113037 0.4475724697113037 77.42056059566853 39.68504962813429 21.080999306627632 0.14705882352941177 5 0.2 1
20190127_154841#image_14#image_63 0.4027884602546692 0.4027884602546692 49.7898613288376 87.63654023525636 43.84347695038044 0.06060606060606061 2 0.0 0
20190127_154841#image_14#image_76 0.461176335811615 0.461176335811615 1.9496981003957548 51.94775159584756 49.81666323595969 0.40540540540540543 15 0.75 6
20190127_154841#image_15#image_24 0.9962978363037109 0.9962978363037109 0.8766206043127768 0.7875856563795239 0.12117781467384742 0.6974789915966386 83 1.0 55
20190127_154841#image_15#image_30 0.8940887451171875 0.8940887451171875 18.25318705178696 36.33587105464147 29.354162694783987 0.3181818181818182 21 0.3125 5
20190127_154841#image_15#image_46 0.4551411271095276 0.4551411271095276 50.475273177119334 20.485844071452604 10.109251712970355 0.05714285714285714 2 0.08333333333333333 1
20190127_154841#image_15#image_47 0.4549065828323364 0.4549065828323364 39.847604662368084 68.95854971442952 32.98078603734892 0.023255813953488372 1 0.0 0
20190127_154841#image_15#image_49 0.4478749632835388 0.4478749632835388 69.87710365054004 10.29143108219203 5.4034064140408615 0.14814814814814814 4 0.125 1
20190127_154841#image_15#image_50 0.4502105712890625 0.4502105712890625 64.66171770605902 62.97797361768522 32.08988124073693 0.18518518518518517 5 0.6 3
20190127_154841#image_15#image_53 0.4767652153968811 0.4767652153968811 34.14659976470819 24.201081637049388 13.397507442721615 0.14285714285714285 4 0.2222222222222222 2
20190127_154841#image_15#image_68 0.4192544221878052 0.4192544221878052 0.8692811064700157 79.87451417598982 37.750172192381896 0.2777777777777778 10 0.8181818181818182 9
20190127_154841#image_15#image_70 0.4238702654838562 0.4238702654838562 1.0894401231229598 46.101446161434616 22.5245458842803 0.47058823529411764 16 1.0 10
20190127_154841#image_15#image_81 0.42929142713546753 0.42929142713546753 6.131478248299962 46.37908416515367 49.72915177645724 0.41379310344827586 12 1.0 11
20190127_154841#image_16#image_25 0.9835590124130249 0.9835590124130249 2.744896472433366 26.651789086223125 4.199642129667155 0.366412213740458 48 0.19298245614035087 11
20190127_154841#image_16#image_50 0.4596986174583435 0.4596986174583435 18.201519975064567 4.439307876991212 2.329685684159749 0.25 8 0.5714285714285714 4
20190127_154841#image_16#image_68 0.40507763624191284 0.40507763624191284 2.6274178989057186 27.818217521697058 13.844192512162188 0.2765957446808511 13 0.8571428571428571 12
20190127_154841#image_17#image_28 0.8561844229698181 0.8561844229698181 1.162623958643371 14.527904437505013 3.013479610097263 0.2692307692307692 14 0.38461538461538464 5
20190127_154841#image_17#image_31 0.7680439949035645 0.7680439949035645 15.978148449117972 25.016932998751173 30.3380547205746 0.189873417721519 15 0.2 4
20190127_154841#image_17#image_65 0.3820948600769043 0.3820948600769043 11.53091896534962 82.88728259446955 38.96242843428965 0.20454545454545456 9 0.0 0
20190127_154841#image_17#image_67 0.3850148916244507 0.3850148916244507 6.2632006339822075 47.53959106047711 52.5717535866005 0.30434782608695654 14 1.0 13
20190127_154841#image_17#image_70 0.3873397707939148 0.3873397707939148 1.511370962400578 14.58458771284117 54.921508069189024 0.5121951219512195 21 1.0 6
20190127_154841#image_17#image_73 0.39107829332351685 0.39107829332351685 2.799618950325815 49.68752417297064 22.567512488050674 0.47368421052631576 18 0.8823529411764706 15
