identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
10#1025.jpg#7125.jpg 0.5886719226837158 0.5886719226837158 59.28274571856879 32.33345117369172 1.5738674132340138 0.6111111111111112 11 1.0 10
10#1300.jpg#4550.jpg 0.18199220299720764 0.18199220299720764 54.31263396941543 82.98843685182553 2.8928682385957933 0.5357142857142857 15 1.0 15
10#1350.jpg#5825.jpg 0.9382617473602295 0.9382617473602295 161.10022808415468 77.02883938203566 2.79620615168033 0.13636363636363635 3 0.0 0
10#1350.jpg#6725.jpg 0.3358854055404663 0.3358854055404663 8.271384339842713 21.323134332186918 0.4074081028217888 0.4 18 1.0 8
10#1375.jpg#6425.jpg 0.7063997387886047 0.7063997387886047 0.5215083052242995 0.41688914180464004 0.00930985588834029 0.4857142857142857 17 1.0 15
10#1525.jpg#3275.jpg 0.6976237297058105 0.6976237297058105 12.558082218890313 26.81671995965173 0.5987556399431582 0.375 15 0.9090909090909091 10
10#1675.jpg#6225.jpg 0.3833072781562805 0.3833072781562805 114.89671258180994 65.96193651563335 1.8737420708846582 0.07692307692307693 1 0.0 0
10#1750.jpg#2475.jpg 0.2006901204586029 0.2006901204586029 113.80106883067775 37.97725413586687 3.2780485415084946 0.2 3 0.3333333333333333 1
10#1750.jpg#7025.jpg 0.34828126430511475 0.34828126430511475 41.00792343098572 88.03894149304028 1.98727599791967 0.23076923076923078 3 0.75 3
10#1800.jpg#6875.jpg 0.5927734375 0.5927734375 1.312544674299122 2.2190962730377466 0.02936617696259664 0.6470588235294118 22 1.0 21
10#2175.jpg#2250.jpg 0.8340104818344116 0.8340104818344116 1.7287362109010236 6.447032406770938 0.05811131898183583 0.8245614035087719 47 1.0 32
10#2400.jpg#6125.jpg 0.22660157084465027 0.22660157084465027 inf inf inf 0.0 0 0.0 0
10#2975.jpg#7050.jpg 0.8557943105697632 0.8557943105697632 56.256512698764844 84.17630222908105 2.8725692845833835 0.3684210526315789 7 0.6666666666666666 2
10#3275.jpg#3925.jpg 0.005664062686264515 0.005664062686264515 142.21282870348523 30.770998233472415 1.260074078485079 0.0 0 0.0 0
10#3575.jpg#4275.jpg 0.4870247542858124 0.4870247542858124 81.50514899466219 49.105380970409996 1.7218743194690957 0.14285714285714285 1 0.0 0
10#3750.jpg#4275.jpg 0.7232096195220947 0.7232096195220947 0.9801854559282612 1.2730996500613656 0.026292532492398477 0.631578947368421 24 1.0 18
10#3750.jpg#4400.jpg 0.04277343675494194 0.04277343675494194 67.30568499172013 39.86862348103913 1.174643828998772 0.18181818181818182 2 0.5 1
10#4600.jpg#7425.jpg 0.585156261920929 0.585156261920929 13.640700526576943 16.253821150523102 0.46671437560867607 0.6585365853658537 27 0.9565217391304348 22
10#4625.jpg#5000.jpg 0.66483074426651 0.66483074426651 13.204547179719935 15.963239525003587 0.4379185326845868 0.7297297297297297 54 0.8936170212765957 42
