identifiers covisible0 covisible1 R_errs t_errs t_errs2 Bef.Prec Bef.Num Aft.Prec Aft.Num
2014-11-14-16-34-33#1415984956291375#1415984959478441 0.13063476979732513 0.13063476979732513 0.08111004080743607 51.091987948044135 0.004894572332114549 0.9027777777777778 65 1.0 8
2014-11-14-16-34-33#1415984957541206#1415984960728274 0.1293436735868454 0.1293436735868454 0.04983787558475534 67.40838870184214 0.0018359581496916045 0.873015873015873 220 0.0 0
2014-11-14-16-34-33#1415984958791036#1415984959478441 0.13068604469299316 0.13068604469299316 0.01620757482309448 88.35141797063615 0.004231886513192805 0.8823529411764706 225 1.0 8
2014-11-14-16-34-33#1415984960665782#1415984961353187 0.13068604469299316 0.13068604469299316 0.01870170832780655 67.72666143226161 0.00521297676801005 0.8928571428571429 225 1.0 5
2014-11-14-16-34-33#1415984961915611#1415984963852850 0.12981079518795013 0.12981079518795013 0.06831234701439697 62.574244033543074 0.0009243103897428001 0.9008264462809917 218 1.0 2
2014-11-14-16-34-33#1415984961915611#1415984964477765 0.1301676481962204 0.1301676481962204 0.028929225365028004 89.93768768049095 0.0018142263704120202 0.8888888888888888 240 1.0 5
2014-11-14-16-34-33#1415984961915611#1415984966352511 0.1301676481962204 0.1301676481962204 0.04405202084150217 86.19796211638115 0.0009337156700353298 0.867704280155642 223 0.5 1
2014-11-14-16-34-33#1415984963165441#1415984965727596 0.12986207008361816 0.12986207008361816 0.025406254666447466 84.82950976658518 0.002276384764255715 0.9051094890510949 248 1.0 5
2014-11-14-16-34-33#1415984965040190#1415984968852170 0.1292952597141266 0.1292952597141266 0.008484314693159436 59.82319894891367 0.001923756035331652 0.8778625954198473 230 0.75 3
2014-11-14-16-34-33#1415984965040190#1415984970726915 0.12981119751930237 0.12981119751930237 inf inf inf 0.872 218 0.0 0
2014-11-14-16-34-33#1415984965665103#1415984967602341 0.12883056700229645 0.12883056700229645 0.004664618082302609 29.071559715813976 0.0017355964469668694 0.9058823529411765 231 1.0 7
2014-11-14-16-34-33#1415984968164765#1415984970726915 0.12981079518795013 0.12981079518795013 0.009208083717187033 68.44818896180887 0.003185790222600263 0.9438202247191011 252 0.5 1
2014-11-14-16-34-33#1415984968789681#1415984972601663 0.13167154788970947 0.13167154788970947 0.04612874508444825 71.48525671763089 0.001305651263643727 0.9090909090909091 240 1.0 8
2014-11-14-16-34-33#1415984969414595#1415984971351834 0.132708340883255 0.132708340883255 0.017803243783189322 84.31041012592654 0.002933216051061752 0.8941176470588236 228 1.0 7
2014-11-14-16-34-33#1415984970039511#1415984971976749 0.13322672247886658 0.13322672247886658 0.06369453488509065 79.23003257831145 0.0012919585135808477 0.8849557522123894 200 1.0 2
2014-11-14-16-34-33#1415984970039511#1415984973851495 0.1329142302274704 0.1329142302274704 0.020711848495682837 82.00889307820322 0.00016126065255305425 0.8911290322580645 221 1.0 7
2014-11-14-16-34-33#1415984970664427#1415984973226579 0.13322713971138 0.13322713971138 0.020798506842056735 23.79958419355654 0.00527044398309927 0.9133858267716536 232 1.0 7
